"user_supplied_name","submitted_name","data_source_title","score","matched_name2"
"amphiprion_perideraion","Amphiprion_perideraion","Catalogue of Life",0.988,"Amphiprion perideraion"
"amphispiza_bilineata","Amphispiza_bilineata","Catalogue of Life",0.988,"Amphispiza bilineata"
"amphiuma_tridactylum","Amphiuma_tridactylum","Catalogue of Life",0.988,"Amphiuma tridactylum"
"amyda_cartilaginea","Amyda_cartilaginea","Catalogue of Life",0.988,"Amyda cartilaginea"
"anarhynchus_frontalis","Anarhynchus_frontalis","Catalogue of Life",0.988,"Anarhynchus frontalis"
"anartia_jatrophae","Anartia_jatrophae","Catalogue of Life",0.988,"Anartia jatrophae"
"anas_acuta","Anas_acuta","Catalogue of Life",0.988,"Anas acuta"
"anas_americana","Anas_americana","Catalogue of Life",0.988,"Anas americana"
"anas_clypeata","Anas_clypeata","Catalogue of Life",0.988,"Anas clypeata"
"anas_crecca","Anas_crecca","Catalogue of Life",0.988,"Anas crecca"
"anas_cyanoptera","Anas_cyanoptera","Catalogue of Life",0.988,"Anas cyanoptera"
"anas_discors","Anas_discors","Catalogue of Life",0.988,"Anas discors"
"anas_falcata","Anas_falcata","Catalogue of Life",0.988,"Anas falcata"
"anas_flavirostris","Anas_flavirostris","Catalogue of Life",0.988,"Anas flavirostris"
"anas_formosa","Anas_formosa","Catalogue of Life",0.988,"Anas formosa"
"anas_fulvigula","Anas_fulvigula","Catalogue of Life",0.988,"Anas fulvigula"
"anas_laysanensis","Anas_laysanensis","Catalogue of Life",0.988,"Anas laysanensis"
"anas_penelope","Anas_penelope","Catalogue of Life",0.988,"Anas penelope"
"anas_platyrhynchos","Anas_platyrhynchos","Catalogue of Life",0.988,"Anas platyrhynchos"
"anas_rubripes","Anas_rubripes","Catalogue of Life",0.988,"Anas rubripes"
"anas_strepera","Anas_strepera","Catalogue of Life",0.988,"Anas strepera"
"anastomus_oscitans","Anastomus_oscitans","Catalogue of Life",0.988,"Anastomus oscitans"
"anathana_ellioti","Anathana_ellioti","Catalogue of Life",0.988,"Anathana ellioti"
"anax_junius","Anax_junius","Catalogue of Life",0.988,"Anax junius"
"anaxyrus_americanus","Anaxyrus_americanus","Catalogue of Life",0.988,"Anaxyrus americanus"
"anaxyrus_canorus","Anaxyrus_canorus","Catalogue of Life",0.988,"Anaxyrus canorus"
"anaxyrus_cognatus","Anaxyrus_cognatus","Catalogue of Life",0.988,"Anaxyrus cognatus"
