"mentionned_species","canonical_name","gbif_id","status","match_type","accepted_species","accepted_gbif_id","order","family"
"calidris_pusilla","Calidris pusilla",2481764,"ACCEPTED","EXACT","Calidris pusilla",2481764,"Charadriiformes","Scolopacidae"
"callaeas_cinereus","Callaeas cinereus",5229945,"ACCEPTED","EXACT","Callaeas cinereus",5229945,"Passeriformes","Callaeatidae"
"callagur_borneoensis","Callagur borneoensis",8260247,"SYNONYM","EXACT","Batagur borneoensis",5789403,"Testudines","Geoemydidae"
"callicebus_brunneus","Callicebus brunneus",2436401,"SYNONYM","EXACT","Plecturocebus brunneus",9410326,"Primates","Pitheciidae"
"callicebus_caligatus","Callicebus caligatus",2436384,"SYNONYM","EXACT","Plecturocebus caligatus",9393257,"Primates","Pitheciidae"
"callicebus_cinerascens","Callicebus cinerascens",2436390,"SYNONYM","EXACT","Plecturocebus cinerascens",9390794,"Primates","Pitheciidae"
"callicebus_cupreus","Callicebus cupreus",2436392,"SYNONYM","EXACT","Plecturocebus cupreus",9634081,"Primates","Pitheciidae"
"callicebus_donacophilus","Callicebus donacophilus",2436399,"SYNONYM","EXACT","Plecturocebus donacophilus",9605093,"Primates","Pitheciidae"
"callicebus_dubius","Callicebus dubius",2436403,"SYNONYM","EXACT","Plecturocebus caligatus",9393257,"Primates","Pitheciidae"
"callicebus_hoffmannsi","Callicebus hoffmannsi",2436382,"SYNONYM","EXACT","Plecturocebus hoffmannsi",9584627,"Primates","Pitheciidae"
"callicebus_modestus","Callicebus modestus",2436380,"SYNONYM","EXACT","Plecturocebus modestus",9509736,"Primates","Pitheciidae"
"callicebus_moloch","Callicebus moloch",2436388,"SYNONYM","EXACT","Plecturocebus moloch",9523044,"Primates","Pitheciidae"
"callicebus_oenanthe","Callicebus oenanthe",2436381,"SYNONYM","EXACT","Plecturocebus oenanthe",9291744,"Primates","Pitheciidae"
"callicebus_olallae","Callicebus olallae",2436389,"SYNONYM","EXACT","Plecturocebus olallae",9613557,"Primates","Pitheciidae"
"callicebus_personatus","Callicebus personatus",2436398,"ACCEPTED","EXACT","Callicebus personatus",2436398,"Primates","Pitheciidae"
"callicebus_torquatus","Callicebus torquatus",2436394,"SYNONYM","EXACT","Cheracebus torquatus",9264949,"Primates","Pitheciidae"
"calligrapha_philadelphica","Calligrapha philadelphica",4990890,"ACCEPTED","EXACT","Calligrapha philadelphica",4990890,"Coleoptera","Chrysomelidae"
"callimico_goeldii","Callimico goeldii",2436464,"ACCEPTED","EXACT","Callimico goeldii",2436464,"Primates","Callitrichidae"
"callinectes_sapidus","Callinectes sapidus",2225646,"ACCEPTED","EXACT","Callinectes sapidus",2225646,"Decapoda","Portunidae"
"callipepla_californica","Callipepla californica",5228080,"ACCEPTED","EXACT","Callipepla californica",5228080,"Galliformes","Odontophoridae"
"callipepla_gambelii","Callipepla gambelii",5228072,"ACCEPTED","EXACT","Callipepla gambelii",5228072,"Galliformes","Odontophoridae"
"callisaurus_draconoides","Callisaurus draconoides",2451459,"ACCEPTED","EXACT","Callisaurus draconoides",2451459,"Squamata","Phrynosomatidae"
"callistomys_pictus","Callistomys pictus",4263000,"ACCEPTED","EXACT","Callistomys pictus",4263000,"Rodentia","Echimyidae"
"callithrix_argentata","Callithrix argentata",5219540,"SYNONYM","EXACT","Mico argentatus",5786456,"Primates","Callitrichidae"
"callithrix_aurita","Callithrix aurita",8827576,"ACCEPTED","EXACT","Callithrix aurita",8827576,"Primates","Callitrichidae"
"callithrix_chrysoleuca","Callithrix chrysoleuca",5707300,"SYNONYM","EXACT","Mico chrysoleucos",7905120,"Primates","Callitrichidae"
"callithrix_emiliae","Callithrix emiliae",5707293,"SYNONYM","EXACT","Mico emiliae",5786467,"Primates","Callitrichidae"
"callithrix_flaviceps","Callithrix flaviceps",5219543,"ACCEPTED","EXACT","Callithrix flaviceps",5219543,"Primates","Callitrichidae"
"callithrix_geoffroyi","Callithrix geoffroyi",5219539,"ACCEPTED","EXACT","Callithrix geoffroyi",5219539,"Primates","Callitrichidae"
"callithrix_humeralifera","Callithrix humeralifera",9198990,"SYNONYM","EXACT","Mico humeralifer",5786463,"Primates","Callitrichidae"
"callithrix_humilis","Callithrix humilis",5707304,"SYNONYM","EXACT","Mico humilis",5786452,"Primates","Callitrichidae"
"callithrix_intermedia","Callithrix intermedia",5707301,"SYNONYM","EXACT","Mico intermedius",5786465,"Primates","Callitrichidae"
"callithrix_jacchus","Callithrix jacchus",5219542,"ACCEPTED","EXACT","Callithrix jacchus",5219542,"Primates","Callitrichidae"
"callithrix_kuhlii","Callithrix kuhlii",5219538,"ACCEPTED","EXACT","Callithrix kuhlii",5219538,"Primates","Callitrichidae"
"callithrix_leucippe","Callithrix leucippe",5707302,"SYNONYM","EXACT","Mico leucippe",5786454,"Primates","Callitrichidae"
"callithrix_mauesi","Callithrix mauesi",5707303,"SYNONYM","EXACT","Mico mauesi",5786464,"Primates","Callitrichidae"
"callithrix_nigriceps","Callithrix nigriceps",5707298,"SYNONYM","EXACT","Mico nigriceps",5786461,"Primates","Callitrichidae"
"callithrix_penicillata","Callithrix penicillata",5219541,"ACCEPTED","EXACT","Callithrix penicillata",5219541,"Primates","Callitrichidae"
"callithrix_pygmaea","Callithrix pygmaea",5219535,"SYNONYM","EXACT","Cebuella pygmaea",4827382,"Primates","Callitrichidae"
"callithrix_saterei","Callithrix saterei",5707296,"SYNONYM","EXACT","Mico saterei",5786457,"Primates","Callitrichidae"
"callorhinus_ursinus","Callorhinus ursinus",2433487,"ACCEPTED","EXACT","Callorhinus ursinus",2433487,"Carnivora","Otariidae"
"callosciurus_adamsi","Callosciurus adamsi",2437403,"ACCEPTED","EXACT","Callosciurus adamsi",2437403,"Rodentia","Sciuridae"
"callosciurus_baluensis","Callosciurus baluensis",2437398,"ACCEPTED","EXACT","Callosciurus baluensis",2437398,"Rodentia","Sciuridae"
"callosciurus_caniceps","Callosciurus caniceps",2437404,"SYNONYM","EXACT","Petaurista caniceps",5786617,"Rodentia","Sciuridae"
"callosciurus_erythraeus","Callosciurus erythraeus",2437394,"ACCEPTED","EXACT","Callosciurus erythraeus",2437394,"Rodentia","Sciuridae"
"callosciurus_finlaysonii","Callosciurus finlaysonii",2437399,"ACCEPTED","EXACT","Callosciurus finlaysonii",2437399,"Rodentia","Sciuridae"
"callosciurus_melanogaster","Callosciurus melanogaster",2437395,"ACCEPTED","EXACT","Callosciurus melanogaster",2437395,"Rodentia","Sciuridae"
"callosciurus_nigrovittatus","Callosciurus nigrovittatus",2437400,"ACCEPTED","EXACT","Callosciurus nigrovittatus",2437400,"Rodentia","Sciuridae"
"callosciurus_notatus","Callosciurus notatus",2437396,"ACCEPTED","EXACT","Callosciurus notatus",2437396,"Rodentia","Sciuridae"
"callosciurus_orestes","Callosciurus orestes",2437401,"ACCEPTED","EXACT","Callosciurus orestes",2437401,"Rodentia","Sciuridae"
"callosciurus_prevostii","Callosciurus prevostii",2437397,"ACCEPTED","EXACT","Callosciurus prevostii",2437397,"Rodentia","Sciuridae"
"calocitta_formosa","Calocitta formosa",2482458,"ACCEPTED","EXACT","Calocitta formosa",2482458,"Passeriformes","Corvidae"
