"species","carnivore","carnivore_::_piscivore","carnivore_::_sanguivore","carnivore_::_insectivore","carnivore_::_molluscivore","carnivore_::_eats_other_marine_invertebrates","herbivore","herbivore_::_frugivore","herbivore_::_lignivore","herbivore_::_algivore","omnivore","planktivore","mycophage","detritivore","coprophage","birds","mammals","amphibians","reptiles","fish","eggs","blood","body_fluids","carrion","insects","terrestrial_non-insect_arthropods","mollusks","terrestrial_worms","aquatic_or_marine_worms","aquatic_crustaceans","echinoderms","cnidarians","other_marine_invertebrates","zooplankton","leaves","roots_and_tubers","wood,_bark,_or_stems","seeds,_grains,_and_nuts","fruit","nectar","pollen","flowers","sap_or_other_plant_fluids","bryophytes","lichens","algae","macroalgae","phytoplankton","fungus","detritus","dung","microbes","iucn_red_list","endothermic","ectothermic","heterothermic","homoiothermic","mass_-_average_-_kg","mass_-_adult_-_average_-_kg","mass_-_adult_-_female_-_average_-_kg","mass_-_adult_-_male_-_average_-_kg","mass_-_embryo_-_average_-_kg","mass_-_weanling_-_average_-_kg","mass_-_female_-_average_-_kg","mass_-_male_-_average_-_kg"
"Carybdea sivickisi","YES","","","","","","","","","","","","","","","","","","","","","",NA,"","","","","","YES","YES","","","YES","YES","","","","","","","","","",NA,"","","","","","","","","Not Evaluated","","YES","","",NA,NA,NA,NA,NA,NA,NA,NA
"Carychium exiguum","","","","","","","","","","","","","YES","YES","","","","","","","","",NA,"","","","","","","","","","","","YES","","","","","","","","",NA,"","","","","YES","YES","","","Not Evaluated","","YES","YES","",NA,NA,NA,NA,NA,NA,NA,NA
"Caryomys inez","","","","","","","","","","","","","","","","","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","",NA,"","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA
"Casinycteris argynnis","","","","","","","","","","","","","","","","","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","",NA,"","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA
"Cassiopea xamachana","YES","","","","","YES","","","","","","","","","","","","","","","","",NA,"","","","","","","","","","","YES","","","","","","","","","",NA,"","YES","","YES","","","","","No special status","","YES","YES","",NA,NA,NA,NA,NA,NA,NA,NA
"Castor canadensis","","","","","","","YES","","YES","","","","","","","","","","","","","",NA,"","","","","","","","","","","","YES","YES","YES","","","","","","",NA,"","","","","","","","","Least Concern","YES","","","",22.5,NA,NA,NA,NA,NA,NA,NA
"Castor fiber","","","","","","","YES","","YES","","","","","","YES","","","","","","","",NA,"","","","","","","","","","","","YES","YES","YES","","YES","","","YES","",NA,"","","","","","","YES","","Least Concern","YES","","","YES",24,NA,NA,NA,NA,NA,NA,NA
"Casuarius bennetti","","","","","","","YES","YES","","","","","","","","","","YES","YES","","","",NA,"","YES","","","","","","","","","","YES","","","YES","YES","","","","",NA,"","","","","YES","","","","Near Threatened","YES","","","",18,NA,NA,NA,NA,NA,NA,NA
"Casuarius casuarius","","","","","","","YES","YES","","","","","","","","","YES","YES","YES","","","",NA,"","YES","YES","","","","","","","","","","","","","YES","","","","",NA,"","","","","YES","","","","Vulnerable","YES","","","YES",44,NA,NA,NA,NA,NA,NA,NA
"Casuarius unappendiculatus","","","","","","","YES","YES","","","","","","","","YES","YES","YES","YES","","","",NA,"YES","YES","","","","","","","","","","","","","","YES","","","YES","",NA,"","","","","","","YES","","Vulnerable","YES","","","YES",22.5,NA,NA,NA,NA,NA,NA,NA
"Catagonus wagneri","","","","","","","","","","","","","","","","","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","",NA,"","","","","","","","","Endangered","YES","","","YES",39,NA,NA,NA,NA,NA,NA,NA
"Cathartes aura","YES","","","","","","","","","","","","","","","YES","","","YES","","","",NA,"YES","YES","","","","","","","","","","","","","","","","","","",NA,"","","","","","","YES","","Least Concern","YES","","","YES",1.43,NA,NA,NA,NA,NA,NA,NA
"Catharus guttatus","","","","","","","","","","","YES","","","","","","","YES","YES","","","",NA,"","YES","YES","","YES","","","","","","","","","","","YES","","","","",NA,"","","","","","","","","Least Concern","YES","","","YES",0.0278,NA,NA,NA,NA,NA,NA,NA
"Catharus minimus","","","","","","","","","","","","","","","","","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","",NA,"","","","","","","","","Least Concern","YES","","","",0.0248,NA,NA,NA,NA,NA,NA,NA
"Catherpes mexicanus","","","","","","","","","","","","","","","","","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","",NA,"","","","","","","","","Least Concern","YES","","","",NA,NA,NA,NA,NA,NA,NA,NA
"Catoptrophorus semipalmatus","YES","","","YES","YES","","","","","","","","","","","","","","","","","",NA,"","YES","","YES","","YES","YES","","","","","","","","","","","","","",NA,"","","","","","","","","Least Concern","YES","","","YES",0.265,NA,NA,NA,NA,NA,NA,NA
"Catopuma badia","YES","","","","","","","","","","","","","","","YES","YES","","","","","",NA,"YES","","","","","","","","","","","","","","","","","","","",NA,"","","","","","","","","Endangered","YES","","","",4,NA,NA,NA,NA,NA,NA,NA
"Catopuma temminckii","YES","","","","","","","","","","","","","","","YES","YES","YES","YES","","","",NA,"","","","","","","","","","","","","","","","","","","","",NA,"","","","","","","","","Near Threatened","YES","","","YES",13.5,NA,NA,NA,NA,NA,NA,NA
"Catostomus commersonii","YES","YES","","YES","YES","","YES","","","YES","YES","YES","","YES","","","","","","YES","YES","",NA,"","YES","","YES","","YES","YES","","","YES","YES","","","","","","","","","",NA,"","YES","","YES","","YES","","","Least Concern","","","","",0.4,NA,NA,NA,NA,NA,NA,NA
"Cavia aperea","","","","","","","YES","","","","","","","","","","","","","","","",NA,"","","","","","","","","","","","YES","YES","","YES","","","","","",NA,"","","","","","","","","Least Concern","YES","","","YES",0.637,NA,NA,NA,NA,NA,NA,NA
"Cavia fulgida","","","","","","","","","","","","","","","","","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","",NA,"","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA
"Cavia intermedia","","","","","","","YES","","","","","","","","","","","","","","","",NA,"","","","","","","","","","","","YES","","","","","","","YES","",NA,"","","","","","","","","Critically Endangered","YES","","","YES",0.6225,NA,NA,NA,NA,NA,NA,NA
"Cavia magna","","","","","","","","","","","","","","","","","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","",NA,"","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA
"Cavia porcellus","","","","","","","YES","YES","","","","","","","","","","","","","","",NA,"","","","","","","","","","","","YES","YES","","","YES","","","YES","",NA,"","","","","","","","","Not Evaluated","YES","","","",0.9,NA,NA,NA,NA,NA,NA,NA
"Cavia tschudii","","","","","","","","","","","","","","","","","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","",NA,"","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA
"Cebus albifrons","","","","","","","YES","YES","","","","","","","","","","","","","","",NA,"","YES","","","","","","","","","","","","","YES","YES","YES","","","",NA,"","","","","","","","","Least Concern","YES","","","YES",2.2,NA,NA,NA,NA,NA,NA,NA
"Cebus apella","","","","","","","","","","","YES","","","","","YES","YES","YES","YES","","YES","",NA,"YES","YES","YES","","","","","","","","","YES","YES","YES","YES","YES","","","YES","",NA,"","","","","","","","","Least Concern","YES","","","YES",3.05,NA,NA,NA,NA,NA,NA,NA
"Cebus capucinus","","","","","","","YES","YES","","","YES","","","","","YES","YES","YES","YES","","","",NA,"","YES","YES","","","","","","","","","","","","YES","YES","","","YES","YES",NA,"","","","","","","","","Least Concern","YES","","","YES",3,NA,NA,NA,NA,NA,NA,NA
"Cebus kaapori","","","","","","","","","","","","","","","","","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","",NA,"","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA
"Cebus olivaceus","","","","","","","","","","","YES","","","","","","YES","","","","","",NA,"","YES","YES","YES","","","YES","","","","","YES","","YES","YES","YES","","","","",NA,"","","","","","","","","Least Concern","YES","","","YES",2.655,NA,NA,NA,NA,NA,NA,NA
"Cebus xanthosternos","","","","","","","","","","","YES","","","","","YES","YES","YES","YES","","YES","",NA,"","YES","YES","","","","YES","","","","","YES","","YES","YES","YES","YES","","YES","",NA,"","","","","","","","","Critically Endangered","YES","","","YES",3.05,NA,NA,NA,NA,NA,NA,NA
"Cediopsylla simplex","YES","","YES","","","","","","","","","","","","","","","","","","","YES",NA,"","","","","","","","","","","","","","","","","","","","",NA,"","","","","","YES","","","Not Evaluated","","YES","","",NA,NA,NA,NA,NA,NA,NA,NA
"Celithemis amanda","YES","","","YES","","","","","","","","","","","","","","","","","","",NA,"","YES","","","","","","","","","","","","","","","","","","",NA,"","","","","","","","","Not Evaluated","","YES","YES","",NA,NA,NA,NA,NA,NA,NA,NA
"Celithemis eponina","YES","","","YES","YES","","","","","","","","","","","","","","","","","",NA,"","YES","","YES","","YES","YES","","","","","","","","","","","","","",NA,"","","","","","","","","No special status","","YES","YES","",NA,NA,NA,NA,NA,NA,NA,NA
"Centrocercus minimus","","","","","","","","","","","YES","","","","","","","","","","","",NA,"","YES","","","","","","","","","","YES","","","YES","YES","","","","",NA,"","","","","","","","","Endangered","YES","","","",1.7125,NA,NA,NA,NA,NA,NA,NA
"Centrocercus urophasianus","","","","","","","","","","","","","","","","","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","",NA,"","","","","","","","","Near Threatened","YES","","","",2.4,NA,NA,NA,NA,NA,NA,NA
"Centrolene prosoblepon","YES","","","YES","","","","","","","","","","","","","","","","","","",NA,"","YES","","","","","","","","","","","","","","","","","","",NA,"","","","","","","","","Least Concern","","YES","YES","",NA,NA,NA,NA,NA,NA,NA,NA
"Centronycteris maximiliani","","","","","","","","","","","","","","","","","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","",NA,"","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA
"Centropomus undecimalis","YES","YES","","","","","","","","","","","","","","","","","","YES","","",NA,"","","","","","","YES","","","","YES","","","","","","","","","",NA,"","","","","","","","","Not Evaluated","","YES","YES","",23.3,NA,NA,NA,NA,NA,NA,NA
"Centropyge potteri","YES","","","","","YES","YES","","","YES","YES","","","","","","","","","","","",NA,"","","","","","","","","YES","YES","","","","","","","","","","",NA,"","YES","","","","","","","Least Concern","","","","",NA,NA,NA,NA,NA,NA,NA,NA
"Centruroides vittatus","","","","","","","","","","","","","","","","","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","",NA,"","","","","","","","","No special status","","","","",NA,NA,NA,NA,NA,NA,NA,NA
"Centurio senex","","","","","","","YES","YES","","","","","","","","","","","","","","",NA,"","","","","","","","","","","","","","","","YES","","","","",NA,"","","","","","","","","Least Concern","YES","","","",0.0205,NA,NA,NA,NA,NA,NA,NA
"Cepaea nemoralis","","","","","","","YES","YES","YES","","","","","","","","","","","","","",NA,"","YES","","","","","","","","","","YES","","YES","","YES","","","YES","",NA,"","","","","","","","","No special status","","YES","YES","",0.0007,NA,NA,NA,NA,NA,NA,NA
"Cephalophus adersi","","","","","","","","","","","","","","","","","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","",NA,"","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA
"Cephalophus callipygus","","","","","","","","","","","","","","","","","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","",NA,"","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA
"Cephalophus dorsalis","","","","","","","","","","","","","","","","","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","",NA,"","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA
"Cephalophus jentinki","","","","","","","","","","","","","","","","","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","",NA,"","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA
"Cephalophus leucogaster","","","","","","","","","","","","","","","","","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","",NA,"","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA
"Cephalophus natalensis","","","","","","","","","","","","","","","","","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","",NA,"","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA
"Cephalophus natalensis harveyi","","","","","","","","","","","","","","","","","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","",NA,"","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA
"Cephalophus niger","","","","","","","YES","YES","","","","","","","","YES","","","","","YES","",NA,"","YES","","YES","","","","","","","","YES","","","","YES","","","","",NA,"","","","","","","","","Least Concern","YES","","","",17.5,NA,NA,NA,NA,NA,NA,NA
"Cephalophus nigrifrons","","","","","","","","","","","","","","","","","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","",NA,"","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA
"Cephalophus ogilbyi","","","","","","","","","","","","","","","","","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","",NA,"","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA
"Cephalophus rufilatus","","","","","","","YES","YES","","","","","","","","","","","","","","",NA,"","","","","","","","","","","","YES","","","","YES","","","YES","",NA,"","","","","","","","","Least Concern","YES","","","YES",10,NA,NA,NA,NA,NA,NA,NA
"Cephalophus silvicultor","","","","","","","YES","YES","","","","","","","","YES","YES","","","","","",NA,"","","","","","","","","","","","YES","YES","YES","YES","YES","","","","",NA,"","","","","","","","","Least Concern","YES","","","YES",62.5,NA,NA,NA,NA,NA,NA,NA
"Cephalophus spadix","","","","","","","","","","","","","","","","","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","",NA,"","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA
"Cephalophus weynsi","","","","","","","","","","","","","","","","","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","",NA,"","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA
"Cephalophus zebra","","","","","","","","","","","","","","","","","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","",NA,"","","","","","","","","Vulnerable","YES","","","YES",17.5,NA,NA,NA,NA,NA,NA,NA
"Cephalorhynchus commersonii","YES","YES","","","YES","","","","","","","","","","","","","","","YES","","",NA,"","","","YES","","YES","YES","","","","","","","","","","","","","",NA,"","YES","","","","","","","Data Deficient","YES","","","",50,NA,NA,NA,NA,NA,NA,NA
"Cephalorhynchus eutropia","YES","YES","","","YES","","","","","","","","","","","","","","","YES","","",NA,"","","","YES","","","YES","","","","","","","","","","","","","",NA,"","","","","","","","","Near Threatened","YES","","","YES",50,NA,NA,NA,NA,NA,NA,NA
"Cephalorhynchus heavisidii","YES","YES","","","","","","","","","","","","","","","","","","YES","","",NA,"","","","YES","","","","","","","","","","","","","","","","",NA,"","","","","","","","","Data Deficient","YES","","","YES",67.5,NA,NA,NA,NA,NA,NA,NA
"Cephalorhynchus hectori","YES","YES","","","","","","","","","","","","","","","","","","YES","","",NA,"","","","YES","","","","","","","","","","","","","","","","",NA,"","","","","","","","","Endangered","YES","","","YES",55,NA,NA,NA,NA,NA,NA,NA
"Cephaloscyllium ventriosum","YES","YES","","","","","","","","","","","","","","","","","","YES","","",NA,"YES","","","YES","","","YES","","","","","","","","","","","","","",NA,"","","","","","","","","Least Concern","","YES","YES","",NA,NA,NA,NA,NA,NA,NA,NA
"Cepphus grylle","","","","","","","","","","","","","","","","","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","",NA,"","","","","","","","","Least Concern","YES","","","",0.4375,NA,NA,NA,NA,NA,NA,NA
"Cerastes cerastes","YES","","","","","","","","","","","","","","","YES","YES","","YES","","","",NA,"","","","","","","","","","","","","","","","","","","","",NA,"","","","","","","","","Least Concern","","","YES","",NA,NA,NA,NA,NA,NA,NA,NA
"Ceratitis capitata","","","","","","","YES","YES","","","","","","","","","","","","","","",NA,"","","","","","","","","","","","","","","","YES","","","","YES",NA,"","","","","","","YES","","No special status","","YES","YES","",NA,NA,NA,NA,NA,NA,NA,NA
"Ceratophrys cornuta","YES","YES","","","","","","","","","","","","","","","YES","YES","YES","YES","","",NA,"","","","","","","","","","","","","","","","","","","","",NA,"","","","","","","","","Least Concern","","YES","","",NA,NA,NA,NA,NA,NA,NA,NA
