"species","carnivore","carnivore_::_piscivore","carnivore_::_sanguivore","carnivore_::_insectivore","carnivore_::_molluscivore","carnivore_::_eats_other_marine_invertebrates","herbivore","herbivore_::_frugivore","herbivore_::_lignivore","herbivore_::_algivore","omnivore","planktivore","mycophage","detritivore","coprophage","birds","mammals","amphibians","reptiles","fish","eggs","blood","body_fluids","carrion","insects","terrestrial_non-insect_arthropods","mollusks","terrestrial_worms","aquatic_or_marine_worms","aquatic_crustaceans","echinoderms","cnidarians","other_marine_invertebrates","zooplankton","leaves","roots_and_tubers","wood,_bark,_or_stems","seeds,_grains,_and_nuts","fruit","nectar","pollen","flowers","sap_or_other_plant_fluids","bryophytes","lichens","algae","macroalgae","phytoplankton","fungus","detritus","dung","microbes","iucn_red_list","endothermic","ectothermic","heterothermic","homoiothermic","mass_-_average_-_kg","mass_-_adult_-_average_-_kg","mass_-_adult_-_female_-_average_-_kg","mass_-_adult_-_male_-_average_-_kg","mass_-_embryo_-_average_-_kg","mass_-_weanling_-_average_-_kg","mass_-_female_-_average_-_kg","mass_-_male_-_average_-_kg"
"Aegithalos caudatus","YES","",NA,"YES","","","","","","","","","","",NA,"","","","","","","","","","YES","","","","","","","","","","","","","YES","","","","","",NA,"","",NA,"","","","","","Least Concern","YES","","","YES",0.008,NA,NA,NA,NA,NA,NA,NA
"Aegolius acadicus","YES","",NA,"","","","","","","","","","","",NA,"YES","YES","","","","","","","","YES","","","","","","","","","","","","","","","","","","",NA,"","",NA,"","","","","","Least Concern","YES","","","",0.0875,NA,NA,NA,NA,NA,NA,NA
"Aegolius funereus","YES","",NA,"","","","","","","","","","","",NA,"YES","YES","","","","","","","","YES","","","","","","","","","","","","","","","","","","",NA,"","",NA,"","","","","","Least Concern","YES","","","YES",0.154,NA,NA,NA,NA,NA,NA,NA
"Aegypius monachus","YES","",NA,"","","","","","","","","","","",NA,"","YES","","YES","","","","","YES","YES","","","","","","","","","","","","","","","","","","",NA,"","",NA,"","","","","","Near Threatened","YES","","","",8.17,NA,NA,NA,NA,NA,NA,NA
"Aepeomys lugens","","",NA,"","","","","","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,"","",NA,"","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA
"Aepyceros melampus","","",NA,"","","","YES","","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","YES","","YES","","","","","","",NA,"","",NA,"","","","","","Least Concern","YES","","","YES",52.5,NA,NA,NA,NA,NA,NA,NA
"Aepyprymnus rufescens","","",NA,"","","","","","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,"","",NA,"","","","","","Least Concern","YES","","","",0.0025,NA,NA,NA,NA,NA,NA,NA
"Aeromys tephromelas","","",NA,"","","","","","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,"","",NA,"","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA
"Aeromys thomasi","","",NA,"","","","","","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,"","",NA,"","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA
"Aeropedellus clavatus","","",NA,"","","","YES","","","","","","","",NA,"","","","","","","","","","YES","","","","","","","","","","YES","","","","","","YES","YES","",NA,"","",NA,"","YES","","","","Not Evaluated","","YES","YES","",NA,NA,NA,NA,NA,NA,NA,NA
"Aeshna canadensis","YES","",NA,"YES","YES","","","","","","","","","",NA,"","","YES","","YES","YES","","","","YES","","YES","","","","","","","YES","","","","","","","","","",NA,"","",NA,"","","","","","Least Concern","","YES","","",NA,NA,NA,NA,NA,NA,NA,NA
"Aeshna umbrosa","YES","",NA,"YES","","","","","","","","","","",NA,"","","YES","","YES","","","","","YES","","","","","YES","","","","","","","","","","","","","",NA,"","",NA,"","","","","","Least Concern","","YES","","",NA,NA,NA,NA,NA,NA,NA,NA
"Aethalops aequalis","","",NA,"","","","","","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,"","",NA,"","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA
"Aethalops alecto","","",NA,"","","","","","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,"","",NA,"","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA
"Aethia cristatella","YES","YES",NA,"","","YES","","","","","","YES","","",NA,"","","","","YES","","","","","","","YES","","","YES","","","YES","YES","","","","","","","","","",NA,"","",NA,"YES","","","","","Least Concern","YES","","","YES",0.26,NA,NA,NA,NA,NA,NA,NA
