"species","omnivore","mycophage","detritivore","coprophage","iucn_red_list","endothermic","ectothermic","heterothermic","homoiothermic","bodymass_kg","carnivore_vertebrate","carnivore_invertebrate","herbivore_plantseed","herbivore_fruitnect","diet_invertebrate","diet_vertebrate_endo","diet_vertebrate_ecto","diet_vertebrate_fish","diet_vertebrate_unk","diet_eggs","diet_scav","diet_plant","diet_seed","diet_fruit","diet_nect","diet_detritus","diet_dung","diet_microbes"
"akodon_cursor",1,NA,NA,NA,"Least Concern",1,NA,NA,NA,0.0425,0,0,0,NA,1,0,0,NA,0,NA,0,1,1,NA,0,NA,NA,NA
"akodon_montensis",1,NA,NA,NA,"Least Concern",1,NA,NA,1,0.042,0,0,0,NA,1,0,0,NA,0,NA,0,1,1,1,0,NA,NA,NA
"akodon_philipmyersi",NA,NA,NA,NA,"Data Deficient",1,NA,NA,1,0.023,0,0,0,NA,0,0,0,NA,0,NA,0,0,NA,NA,0,NA,NA,NA
"alaria_americana",NA,NA,NA,NA,"No special status",NA,1,1,NA,NA,1,0,0,NA,0,0,0,NA,0,NA,1,0,NA,NA,0,NA,NA,NA
"alasmidonta_heterodon",NA,NA,1,NA,"Vulnerable",NA,1,1,NA,NA,0,1,0,NA,0,0,0,NA,0,NA,0,1,NA,NA,0,1,NA,NA
"alasmidonta_marginata",NA,NA,1,NA,"Data Deficient",NA,1,1,NA,NA,0,1,0,NA,0,0,0,NA,0,NA,0,1,NA,NA,0,1,NA,1
"alasmidonta_viridis",NA,NA,1,NA,"No special status",NA,1,1,NA,NA,0,1,0,NA,0,0,0,NA,0,NA,0,1,NA,NA,0,1,NA,1
"alauda_arvensis",1,NA,NA,NA,"Least Concern",1,NA,NA,1,0.036,0,0,0,NA,1,0,0,NA,0,NA,0,0,1,NA,0,NA,NA,NA
"alaus_oculatus",NA,NA,NA,NA,"No special status",NA,1,NA,NA,NA,0,0,0,NA,0,0,0,NA,0,NA,0,0,NA,NA,0,NA,NA,NA
"albula_vulpes",NA,NA,NA,NA,"No special status",NA,1,1,NA,3,1,0,0,NA,1,0,0,1,0,NA,0,0,NA,NA,0,NA,NA,NA
