Reference Name,Number of records from each reference
"Isberg, S.R., Thomson, P.C., Nicholas, F.W. et al., 2005",6
"Jones, J.K. and H.H. Genoways, 1967",6
"Jones, J.K., Homan, J.A., 1974",6
"Kingdon, J., D. Happold, T. Butynski, et al. 2013",6
"Kurucz, N., 2000",6
"Lance, 1989",6
"Leslie Jr., D.M., Groves, C.P., Abramov, A.V., 2010",6
"Lyon, B.E, Montgomerie, R.D., L.D. Hamilton, 1987",6
"Matson, J.O., McCarthy, T.J., 2004",6
"McGrew, J.C., 1979",6
"Molinari, J., Soriano, P.J., 1987",6
"Palika, 2011",6
"Pangerc, 2010",6
"Platt, S.G. et al., 2011",6
"Potter, E., 2012",6
"Rafferty, 2011a",6
"Rathbun, G.B., 1979",6
"Seigel, R.A., Fitch, H.S., Ford, N.B., 1986",6
"Silveira et al., 2013",6
"Solar-Frost, A., Medellin, R.A., Cameron, G.N., 2003",6
"Tejedor, 2005",6
"Thorbjarnarson, 2010",6
"Todd, 2000",6
"Tolley and Herrel, 2013",6
"Valenzuela, N., 2001",6
"Wikramanayake, E.D., Dryden, G.L., 1988",6
"Williams, S.L., Baker, R.J., 1974",6
"Wilson, D.E., LaVal, R.K., 1974",6
"Winter, Y., Voigt, C., and O. Von Helversen, 1998",6
"Yuyek, 2012",6
"Zug, 2013",6
"Antelo, R., Ayarzaguena, J. and J. Castroviejo, 2010",5
"Banack, S.A., 2001",5
"Best, T.L., Hunt, J.L., McWilliams, L.A., 2002",5
"Bezuijen, M.R., Shwedick, B.M., Sommerlad, R. et al., 2010",5
"Brazil, M. 2010",5
"Brown, W.Y., 1977",5
"Buffrenil and Rimblot-Baly, 1999",5
"Caceres, N.C., Barclay, R.M.R.",5
"Calver, M.C., King, D.R., Gardner, J.L. and G.R. Martin, 1991",5
"Collins, Collins, and Taggart, 2011",5
"Das, I. and S. Singh, 2009",5
"Davenport, 2011",5
"Davis, 2011",5
"Davis, J.R. and D.F. DeNardo, 2010",5
"Delaney, R., Fukuda, Y., Saalfeld, K., 2009",5
"Du, W-G., Tu, M-C., Radder, R.S., and R. Shine, 2013",5
"Elsey, R.M., Woodward, A.R., 2010",5
"Garcia, P.F.J.,Rasheed, S.A. and S.L. Holroyd, 1995",5
"Giannini, N.P., Barquez, R.M., 2003",5
"Gregorovicova, M., Zahradnicek, O., Tucker, A.S. et al., 2012",5
"Hart and Kitchener, 1986",5
"Heij, C.J., Rompas, C.F.E., Moeliker, C.W., 1997",5
"Hillman, C.N., Clark, T.W., 1980",5
"Hitchins, P.M., Bourquin, O., Hitchins, S., and S.E. Piper, 2004",5
"Jackson, S.M., 2012",5
"James, 1996",5
"Kalcounis-Reuppell, M.C., Spoon, T.R., 2009",5
"Lanicci, R.",5
"Lecky, 2011",5
"Leslie, D.M., 2010a",5
"MacNab, 2005",5
"Markowitz, 2012",5
"Melo, et al. 2006",5
"Muheebwa, J., Byaruhanga, A., Pomeroy, D., et al, 2012",5
"Murray, K.L. and T.H. Fleming, 2008",5
"Nadachowski, A., Mead, J.I., 1999",5
"Navarrete, D., Ortega, J., 2011",5
"Oprea, M., Aguilar, L.M.S., Wilson, D.E., 2005",5
"Piatt, J.F., 2002",5
"Rao, 2006",5
"Riskin, D.K., 2001",5
"Rogers, K., Ralph, T.J., 2011",5
"Shostell, J.M. and M. Ruiz-Garcia, 2010",5
"Uller et al., 2009",5
"Vazquez, L.B., Cameron, G.N., Medellin, R.A., 2001",5
"Vogt, R.C., Polisar, J.R. and D. Moll, 2011",5
"Wiktander, U., Nilsson, S.G., Olsson, O., et al. 1994",5
"Williams, S.L, Ramirez-Pulido, J., Baker, R.J., 1985",5
"Yalden, D.W., 1985",5
"Zacariotti and Rio do Valle, 2010",5
"Alderman, R.L., 2012",4
"Alvarez-Castaneda, S.T., Gonzalez-Ruiz, N., 2009",4
"Atanasov, 2012a",4
"Austad, S., 2011",4
"Baker, G.C., Dekker, R.W., 2008",4
"Ballouard et al., 2010",4
"Barnett, A.A., 2005",4
"Best, T.L., Ceballos, G., 1995",4
"Broadley, D.G. and W. Sachsse, 2011",4
"Brock, 2012",4
"Caceres, N.C., Napoli, R.P., and W. Hannibal, 2011",4
"Chaverri, G. and M.J. Vonhof, 2011",4
