"accepted_species_gbif","accepted_gbif_id","gbif_id","order","family","genus","status","species_raw","adw_primary_diet","adw_carnivore","adw_carnivore.piscivore","adw_carnivore.sanguivore","adw_carnivore.insectivore","adw_carnivore.molluscivore","adw_carnivore.eats_other_marine_invertebrates","adw_herbivore","adw_herbivore.frugivore","adw_herbivore.lignivore","adw_herbivore.algivore","adw_omnivore","adw_planktivore","adw_mycophage","adw_detritivore","adw_coprophage","adw_animal_foods","adw_birds","adw_mammals","adw_amphibians","adw_reptiles","adw_fish","adw_eggs","adw_blood","adw_body_fluids","adw_carrion","adw_insects","adw_terrestrial_non_insect_arthropods","adw_mollusks","adw_terrestrial_worms","adw_aquatic_or_marine_worms","adw_aquatic_crustaceans","adw_echinoderms","adw_cnidarians","adw_other_marine_invertebrates","adw_zooplankton","adw_plant_foods","adw_leaves","adw_roots_and_tubers","adw_wood_bark_or_stems","adw_seeds_grains_and_nuts","adw_fruit","adw_nectar","adw_pollen","adw_flowers","adw_sap_or_other_plant_fluids","adw_bryophytes","adw_lichens","adw_algae","adw_macroalgae","adw_phytoplankton","adw_other_foods","adw_fungus","adw_detritus","adw_dung","adw_microbes","adw_endothermic","adw_ectothermic","adw_heterothermic","adw_homoiothermic","species","bodymass_kg"
"Accipiter striatus","9740253","9740253","Accipitriformes","Accipitridae","Accipiter","ACCEPTED","Accipiter striatus","Carnivore, Carnivore: Eats terrestrial vertebrates","YES","",NA,"","","","","","","","","","","",NA,"Birds, Mammals, Insects","YES","YES","","","","","","","","YES","","","","","","","","","","","","","","","","","","","",NA,"","",NA,"","","","","","","YES","","","","accipiter_striatus",0.1525
"Acerodon jubatus","5218703","5218703","Chiroptera","Pteropodidae","Acerodon","ACCEPTED","Acerodon jubatus","Herbivore, Herbivore: Frugivore","","",NA,"","","","YES","YES","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","","Leaves, Fruit","YES","","","","YES","","","","",NA,"","",NA,"","","","","","","YES","","","YES","acerodon_jubatus",1.125
"Achatina fulica","2295966","2295966","Stylommatophora","Achatinidae","Achatina","ACCEPTED","Achatina fulica","Herbivore, Herbivore: Folivore, Herbivore: Frugivore","","",NA,"","","","YES","YES","","","","","","",NA,"Mollusks","","","","","","","","","","","","YES","","","","","","","","Leaves, Wood, bark, or stems, Seeds, grains, and nuts, Fruit, Flowers, Lichens, Algae","YES","","YES","YES","YES","","","YES","",NA,"YES","YES",NA,"","Fungus, Detritus","YES","YES","","","","YES","YES","","achatina_fulica",0.032
"Achatinella mustelina","5782912","5782912","Stylommatophora","Achatinellidae","Achatinella","ACCEPTED","Achatinella mustelina","Mycophage","","",NA,"","","","","","","","","","YES","",NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,"","",NA,"","Fungus","YES","","","","","YES","YES","","achatinella_mustelina",NA
"Acinonyx jubatus","2435270","2435270","Carnivora","Felidae","Acinonyx","ACCEPTED","Acinonyx jubatus","Carnivore, Carnivore: Eats terrestrial vertebrates","YES","",NA,"","","","","","","","","","","",NA,"Birds, Mammals","YES","YES","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,"","",NA,"","","","","","","YES","","","","acinonyx_jubatus",46.5
"Acipenser fulvescens","2402120","2402120","Acipenseriformes","Acipenseridae","Acipenser","ACCEPTED","Acipenser fulvescens","","","",NA,"","","","","","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,"","",NA,"","","","","","","","YES","YES","","acipenser_fulvescens",90
"Acipenser transmontanus","2402122","2402122","Acipenseriformes","Acipenseridae","Acipenser","ACCEPTED","Acipenser transmontanus","","","",NA,"","","","","","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,"","",NA,"","","","","","","","YES","YES","","acipenser_transmontanus",630
"Acomys cahirinus","9800308","9800308","Rodentia","Muridae","Acomys","ACCEPTED","Acomys cahirinus","Omnivore","","",NA,"","","","","","","","YES","","","",NA,"Carrion, Insects, Terrestrial Non-insect Arthropods, Mollusks","","","","","","","","","YES","YES","YES","YES","","","","","","","","Leaves, Seeds, grains, and nuts, Fruit","YES","","","YES","YES","","","","",NA,"","",NA,"","","","","","","YES","","","YES","acomys_cahirinus",0.05
"Acomys russatus","2438257","2438257","Rodentia","Muridae","Acomys","ACCEPTED","Acomys russatus","","","",NA,"","","","","","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,"","",NA,"","","","","","","YES","","","","acomys_russatus",0.045
"Aconaemys fuscus","2439653","2439653","Rodentia","Octodontidae","Aconaemys","ACCEPTED","Aconaemys fuscus","Herbivore, Herbivore: Folivore, Herbivore: Granivore, Herbivore: Lignivore","","",NA,"","","","YES","","YES","","","","","",NA,"","","","","","","","","","","","","","","","","","","","","Leaves, Roots and tubers, Wood, bark, or stems, Seeds, grains, and nuts","YES","YES","YES","YES","","","","","",NA,"","",NA,"","Dung","","","YES","","YES","","","YES","aconaemys_fuscus",0.05
