Family,Genus,CommonName,Species,Species (ITIS),Habitat_Forest,Habitat_Savanna,Habitat_Shrubland,Habitat_Grassland,Habitat_Wetlands,Habitat_Rocky areas,Habitat_Desert,Refs1,Refs2
Cercopithecidae,Cercopithecus,Spot_nosed_Monkey,Cercopithecus_petaurista,Cercopithecus_petaurista,1,0,1,0,0,0,0,227,NA
Cercopithecidae,Cercopithecus,Crowned_Monkey,Cercopithecus_pogonias,Cercopithecus_pogonias,1,1,0,0,0,0,0,1154,NA
Cercopithecidae,Cercopithecus,Roloway_Monkey,Cercopithecus_roloway,Cercopithecus_roloway,1,0,0,0,0,0,0,565,NA
Cercopithecidae,Cercopithecus,Sclater_s_Monkey,Cercopithecus_sclateri,Cercopithecus_sclateri,1,0,1,0,0,0,0,227,NA
Cercopithecidae,Cercopithecus,Wolf_s_Monkey,Cercopithecus_wolfi,Cercopithecus_wolfi,1,1,0,0,1,0,0,1154,NA
Cheirogaleidae,Cheirogaleus,Montagne_d_Ambre_Dwarf_Lemur,Cheirogaleus_andysabini,Cheirogaleus_andysabini,0,0,0,0,0,0,0,NA,NA
Cheirogaleidae,Cheirogaleus,Crossley_s_Dwarf_Lemur,Cheirogaleus_crossleyi,Cheirogaleus_crossleyi,1,0,0,0,0,0,0,227,NA
Cheirogaleidae,Cheirogaleus,Lavasoa_Dwarf_lemur,Cheirogaleus_lavasoensis,Cheirogaleus_lavasoensis,0,0,0,0,0,0,0,NA,NA
Cheirogaleidae,Cheirogaleus,Greater_Dwarf_Lemur,Cheirogaleus_major,Cheirogaleus_major,1,0,0,0,0,0,0,227,NA
Cheirogaleidae,Cheirogaleus,Fat_tailed_Dwarf_Lemur,Cheirogaleus_medius,Cheirogaleus_medius,1,0,0,0,0,0,0,227,NA
Cheirogaleidae,Cheirogaleus,Lesser_Iron_gray_Dwarf_Lemur,Cheirogaleus_minusculus,Cheirogaleus_minusculus,1,0,0,0,0,0,0,227,NA
Cheirogaleidae,Cheirogaleus, Sheth's_Dwarf_Lemur,NA,Cheirogaleus_shethi,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cheirogaleidae,Cheirogaleus,Sibree_s_Dwarf_Lemur,Cheirogaleus_sibreei,Cheirogaleus_sibreei,1,0,0,0,0,0,0,227,NA
Cheirogaleidae,Cheirogaleus,Thomas_s_Dwarf_Lemur,Cheirogaleus_thomasi,Cheirogaleus_thomasi,0,0,0,0,0,0,0,NA,NA
Pitheciidae,Cheracebus,Yellow_handed_Titi,Cheracebus_lucifer,Cheracebus_lucifer,1,0,0,0,1,0,0,575,NA
Pitheciidae,Cheracebus,White_chested_Titi,Cheracebus_lugens,Cheracebus_lugens,1,0,0,0,0,0,0,46,511
Pitheciidae,Cheracebus,Medem_s_Titi,Cheracebus_medemi,Cheracebus_medemi,1,0,0,0,0,0,0,148,NA
Pitheciidae,Cheracebus,Rio_Purus_Titi,Cheracebus_purinus,Cheracebus_purinus,1,0,0,0,0,0,0,1156,NA
Pitheciidae,Cheracebus,Rio_Juruá_Collared_Titi,Cheracebus_regulus,Cheracebus_regulus,1,0,0,0,0,0,0,581,NA
Pitheciidae,Cheracebus,White_collared_Titi,Cheracebus_torquatus,Cheracebus_torquatus,1,0,0,0,0,0,0,241,NA
Pitheciidae,Chiropotes,White_nosed_Bearded_Saki,Chiropotes_albinasus,Chiropotes_albinasus,1,0,0,0,0,0,0,227,NA
Pitheciidae,Chiropotes,Rio_Negro_Beared_Saki,Chiropotes_chiropotes,Chiropotes_chiropotes,1,0,0,0,0,0,0,227,NA
Pitheciidae,Chiropotes, Brown_backed_Bearded_Saki,NA,Chiropotes_israelita,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pitheciidae,Chiropotes,Guianan_Beared_Saki,Chiropotes_sagulatus,Chiropotes_sagulatus,1,1,0,0,0,0,0,591,NA
Pitheciidae,Chiropotes,Black_Bearded_Saki,Chiropotes_satanas,Chiropotes_satanas,1,0,0,0,0,0,0,227,NA
Pitheciidae,Chiropotes,Uta_Hick_s_Bearded_Saki,Chiropotes_utahickae,Chiropotes_utahickae,1,0,0,0,0,0,0,227,NA
Cercopithecidae,Chlorocebus,Grivet_Monkey,Chlorocebus_aethiops,Chlorocebus_aethiops,0,1,1,0,0,0,0,227,NA
Cercopithecidae,Chlorocebus,Malbrouck_Monkey,Chlorocebus_cynosuros,Chlorocebus_cynosuros,1,1,0,0,0,0,0,227,NA
Cercopithecidae,Chlorocebus,Bale_Monkey,Chlorocebus_djamdjamensis,Chlorocebus_djamdjamensis,1,0,0,0,0,0,0,227,NA
Cercopithecidae,Chlorocebus,Vervet_Monkey,Chlorocebus_pygerythrus,Chlorocebus_pygerythrus,1,1,1,0,0,0,0,227,NA
Cercopithecidae,Chlorocebus,Green_Monkey,Chlorocebus_sabaeus,Chlorocebus_sabaeus,1,1,0,0,0,0,0,227,NA
Cercopithecidae,Chlorocebus,Tantalus_Monkey,Chlorocebus_tantalus,Chlorocebus_tantalus,1,1,0,0,0,0,0,227,NA
Cercopithecidae,Colobus,Angolan_Colobus,Colobus_angolensis,Colobus_angolensis,1,0,0,0,0,0,0,227,NA
Cercopithecidae,Colobus,Guereza,Colobus_guereza,Colobus_guereza,1,0,0,0,0,0,0,227,NA
Cercopithecidae,Colobus,King_Colobus,Colobus_polykomos,Colobus_polykomos,1,0,0,0,0,0,0,227,NA
Cercopithecidae,Colobus,Black_Colobus,Colobus_satanas,Colobus_satanas,1,0,0,0,0,0,0,227,NA
Cercopithecidae,Colobus,White_thighed_Colobus,Colobus_vellerosus,Colobus_vellerosus,1,1,0,0,0,0,0,227,NA
Daubentoniidae,Daubentonia,Aye_aye,Daubentonia_madagascariensis,Daubentonia_madagascariensis,1,0,1,0,0,0,0,227,NA
Cercopithecidae,Erythrocebus,Patas_Monkey,Erythrocebus_patas,Erythrocebus_patas,1,1,1,1,0,0,0,227,NA
Cercopithecidae,Erythrocebus,Heuglin's_Patas_Monkey,NA,Erythrocebus_poliophaeus,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lemuridae,Eulemur,White_fronted_Brown_Lemur,Eulemur_albifrons,Eulemur_albifrons,1,0,0,0,0,0,0,227,NA
Lemuridae,Eulemur,White_collared_Brown_Lemur,Eulemur_cinereiceps,Eulemur_cinereiceps,1,0,0,0,0,0,0,227,NA
Lemuridae,Eulemur,Red_collared_Brown_Lemur,Eulemur_collaris,Eulemur_collaris,1,0,0,0,0,0,0,227,NA
Lemuridae,Eulemur,Crowned_Lemur,Eulemur_coronatus,Eulemur_coronatus,1,0,0,0,0,0,0,227,NA
Lemuridae,Eulemur,Blue_eyed_Black_Lemur,Eulemur_flavifrons,Eulemur_flavifrons,1,0,0,0,0,0,0,227,NA
Lemuridae,Eulemur,Brown_Lemur,Eulemur_fulvus,Eulemur_fulvus,1,0,0,0,0,0,0,227,NA
Lemuridae,Eulemur,Black_Lemur,Eulemur_macaco,Eulemur_macaco,1,0,0,0,0,0,0,227,NA
Lemuridae,Eulemur,Mongoose_Lemur,Eulemur_mongoz,Eulemur_mongoz,1,0,0,0,0,0,0,227,NA
Lemuridae,Eulemur,Red_bellied_Lemur,Eulemur_rubriventer,Eulemur_rubriventer,1,0,0,0,0,0,0,227,NA
Lemuridae,Eulemur,Red_fronted_Brown_Lemur,Eulemur_rufifrons,Eulemur_rufifrons,1,0,0,0,0,0,0,227,NA
Lemuridae,Eulemur,Rufous_Brown_Lemur,Eulemur_rufus,Eulemur_rufus,1,0,0,0,0,0,0,227,NA
Lemuridae,Eulemur,Sanford_s_Brown_Lemur,Eulemur_sanfordi,Eulemur_sanfordi,1,0,0,0,0,0,0,227,NA
Galagidae,Euoticus,Southern_Needle_clawed_Galago,Euoticus_elegantulus,Euoticus_elegantulus,1,0,0,0,0,0,0,227,NA
Galagidae,Euoticus,Northern_Needle_clawed_Galago,Euoticus_pallidus,Euoticus_pallidus,1,0,0,0,0,0,0,227,NA
Galagidae,Galago,Somali_Lesser_Galago,Galago_gallarum,Galago_gallarum,0,1,0,0,0,0,0,227,NA
Galagidae,Galago,Spectacled_Lesser_Galago,Galago_matschiei,Galago_matschiei,1,0,0,0,0,0,0,227,NA
Galagidae,Galago,Southern_Lesser_Galago,Galago_moholi,Galago_moholi,0,1,0,0,0,0,0,227,NA
