Family,Genus,CommonName,Species,Species (ITIS),DielActivity,Refs
Lepilemuridae,Lepilemur,Zombitse_Sportive_Lemur,Lepilemur_hubbardi,Lepilemur_hubbardi,N,732
Lepilemuridae,Lepilemur,Manombo_Sportive_Lemur,Lepilemur_jamesorum,Lepilemur_jamesorum,N,270
Lepilemuridae,Lepilemur,White_footed_Sportive_Lemur,Lepilemur_leucopus,Lepilemur_leucopus,N,733
Lepilemuridae,Lepilemur,Small_toothed_Sportive_Lemur,Lepilemur_microdon,Lepilemur_microdon,N,734
Lepilemuridae,Lepilemur,Daraina_Sportive_Lemur,Lepilemur_milanoii,Lepilemur_milanoii,N,270
Lepilemuridae,Lepilemur,Mittermeier_s_Sportive_Lemur,Lepilemur_mittermeieri,Lepilemur_mittermeieri,N,439
Lepilemuridae,Lepilemur,Weasel_Sportive_Lemur,Lepilemur_mustelinus,Lepilemur_mustelinus,N,77
Lepilemuridae,Lepilemur,Ambodimahabibo_Sportive_Lemur,Lepilemur_otto,Lepilemur_otto,N,735
Lepilemuridae,Lepilemur,Petter_s_Sportive_Lemur,Lepilemur_petteri,Lepilemur_petteri,N,270
Lepilemuridae,Lepilemur,Bemaraha_Sportive_Lemur,Lepilemur_randrianasoloi,Lepilemur_randrianasoloi,N,439
Lepilemuridae,Lepilemur,Red_tailed_Sportive_Lemur,Lepilemur_ruficaudatus,Lepilemur_ruficaudatus,N,736
Lepilemuridae,Lepilemur,Sahamalaza_Sportive_Lemur,Lepilemur_sahamalazensis,Lepilemur_sahamalazensis,N,738
Lepilemuridae,Lepilemur,Masoala_Sportive_Lemur,Lepilemur_scottorum,Lepilemur_scottorum,N,740
Lepilemuridae,Lepilemur,Seal_s_Sportive_Lemur,Lepilemur_seali,Lepilemur_seali,N,270
Lepilemuridae,Lepilemur,Sahafary_Sportive_Lemur,Lepilemur_septentrionalis,Lepilemur_septentrionalis,N,1178
Lepilemuridae,Lepilemur,Nosy_Be_Sportive_Lemur,Lepilemur_tymerlachsoni,Lepilemur_tymerlachsoni,N,270
Lepilemuridae,Lepilemur,Wright_s_Sportive_Lemur,Lepilemur_wrightae,Lepilemur_wrightae,N,741
Cercopithecidae,Lophocebus,Gray_cheeked_Mangabey,Lophocebus_albigena,Lophocebus_albigena,D,520
