"Ref	Cite_in	DOI	Classe	Sous classe	Super ordre	Ordre	Sous ordre	Famille	Genus	Species	Functional_group	Diet_type	Diet_type_ajout	Ref_ajout_diet	C_mean	C_sd	N_mean	N_sd	P_mean	P_sd	P_MinMax	C/N_mean	C/N_sd	C/P_mean	C/P_sd	N/P	DryMass (g)	DryMass_sd (g)	DryMass_ajout	DryMass_sd_ajout	Ref_ajout_DryMass	WetMass (g)	WetMass_ajout	Ref_ajout_WetMass	Body_length(m)	Body_length_sd(m)	C_mean_sample_size	N_mean_sample-size	P_mean_sample_size	Mass_sample_size	Age_Stage(???)	Biome	Biome ajout	Ref biome ajout	Stoichio data source	Body_mass data source	Observation	Agent	Organism_source	Stoichio_analysis	Nitrogen_calc_from_prot	Ratio_method";
"Rudawska_&_Leski_2005	Zhang_2017	10.3389/fmicb.2017.01281	Agaricomycetes			Russulales		Russulaceae	Lactarius	deliciosus	Microbe						4.24		0.44							21.34																					JS	BA				molar";
"Rudawska_&_Leski_2005	Zhang_2017	10.3389/fmicb.2017.01281	Agaricomycetes			Russulales		Russulaceae	Lactarius	deliciosus	Microbe						4.55		0.66							15.27																					JS	BA				molar";
"Rudawska_&_Leski_2005	Zhang_2017	10.3389/fmicb.2017.01281	Agaricomycetes			Russulales		Russulaceae	Lactarius	deliciosus	Microbe						3.83		0.23							36.87																					JS	BA				molar";
"Taylor_et_al_2003	Zhang_2017	10.3389/fmicb.2017.01281	Agaricomycetes			Russulales		Russulaceae	Lactarius	deliciosus	Microbe				45.8		3.9					13.7																									JS	BA				molar";
"Vogt_&_Edmonds_1980	Zhang_2017	10.3389/fmicb.2017.01281	Agaricomycetes			Russulales		Russulaceae	Lactarius	deliciosus	Microbe						2.76		0.56							10.91																					JS	BA				molar";
"Johanson_et_al_2004	Zhang_2017	10.3389/fmicb.2017.01281	Agaricomycetes			Russulales		Russulaceae	Lactarius	deterrimus	Microbe				46.11		2.65					20.27																									JS	BA				molar";
"Taylor_et_al_2003	Zhang_2017	10.3389/fmicb.2017.01281	Agaricomycetes			Russulales		Russulaceae	Lactarius	deterrimus	Microbe				45.2		4.2					12.56																									JS	BA				molar";
"Taylor_et_al_2003	Zhang_2017	10.3389/fmicb.2017.01281	Agaricomycetes			Russulales		Russulaceae	Lactarius	fuliginosus	Microbe				44.9		3.6					14.55																									JS	BA				molar";
"Taylor_et_al_2003	Zhang_2017	10.3389/fmicb.2017.01281	Agaricomycetes			Russulales		Russulaceae	Lactarius	glyciosmus	Microbe				44.5		3.8					13.66																									JS	BA				molar";
"Washizuka_1987	Zhang_2017	10.3389/fmicb.2017.01281	Agaricomycetes			Russulales		Russulaceae	Lactarius	hatsudake	Microbe						4.5		0.1							99.64																					JS	BA				molar";
"Taylor_et_al_2003	Zhang_2017	10.3389/fmicb.2017.01281	Agaricomycetes			Russulales		Russulaceae	Lactarius	helvus	Microbe				43.7		4.3					11.86																									JS	BA				molar";
"Vogt_&_Edmonds_1980	Zhang_2017	10.3389/fmicb.2017.01281	Agaricomycetes			Russulales		Russulaceae	Lactarius	mucidus	Microbe						2.75		0.59							10.32																					JS	BA				molar";
