"accepted_gbif_id","order","family","status","scientific","diet_inv","diet_vend","diet_vect","diet_vfish","diet_vunk","diet_scav","diet_fruit","diet_nect","diet_seed","diet_planto","diet_source","diet_certainty","bodymass_value","bodymass_source","bodymass_speclevel","msw3_id","mswfamilylatin","forstrat_value","forstrat_certainty","forstrat_comment","activity_nocturnal","activity_crepuscular","activity_diurnal","activity_source","activity_certainty","specid","passnonpass","iocorder","blfamilylatin","blfamilyenglish","blfamsequid","taxo","english","diet_5cat","diet_enteredby","forstrat_watbelowsurf","forstrat_wataroundsurf","forstrat_ground","forstrat_understory","forstrat_midhigh","forstrat_canopy","forstrat_aerial","pelagicspecialist","forstrat_source","forstrat_speclevel","forstrat_enteredby","nocturnal","bodymass_comment","record_comment"
2438962,"Rodentia","Muridae","ACCEPTED","Berylmys manipulus",30,0,0,0,0,0,20,0,10,40,"Ref_1","ABC",116,"Ref_117","1",2276,"Muridae","G","A",NA,1,0,0,"Ref_3","D2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2440025,"Diprotodontia","Potoroidae","ACCEPTED","Bettongia gaimardi",0,0,0,0,0,0,0,0,30,70,"Ref_1","ABC",1660,"Ref_117","1",331,"Potoroidae","G","A",NA,1,0,0,"Ref_1","ABC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2440023,"Diprotodontia","Potoroidae","ACCEPTED","Bettongia lesueur",0,0,0,0,0,0,0,0,30,70,"Ref_1","ABC",1500,"Ref_117","1",328,"Potoroidae","G","A",NA,1,0,0,"Ref_1","ABC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2440026,"Diprotodontia","Potoroidae","ACCEPTED","Bettongia penicillata",0,0,0,0,0,0,0,0,30,70,"Ref_1","ABC",1300,"Ref_117","1",329,"Potoroidae","G","A",NA,1,0,0,"Ref_1","ABC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2440024,"Diprotodontia","Potoroidae","ACCEPTED","Bettongia tropica",10,0,0,0,0,0,0,0,10,80,"Ref_54","ABC",1256.58,"Ref_58","1",330,"Potoroidae","G","A",NA,1,0,0,"Ref_1","ABC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2439030,"Rodentia","Cricetidae","ACCEPTED","Bibimys chacoensis",0,0,0,0,0,0,0,0,30,70,"Ref_1","ABC",28,"Ref_117","1",1722,"Cricetidae","G","A",NA,1,0,0,"Ref_1","ABC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2439029,"Rodentia","Cricetidae","ACCEPTED","Bibimys labiosus",0,0,0,0,0,0,0,0,30,70,"Ref_1","ABC",29,"Ref_117","1",1720,"Cricetidae","G","A",NA,1,0,0,"Ref_1","ABC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2439028,"Rodentia","Cricetidae","ACCEPTED","Bibimys torresi",0,0,0,0,0,0,0,0,30,70,"Ref_1","ABC",28,"Ref_117","1",1721,"Cricetidae","G","A",NA,1,0,0,"Ref_1","ABC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2441176,"Artiodactyla","Bovidae","ACCEPTED","Bison bison",0,0,0,0,0,0,0,0,0,100,"Ref_1","ABC",579255.28,"Ref_117","1",5172,"Bovidae","G","A",NA,1,1,1,"Ref_1","ABC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2441184,"Artiodactyla","Bovidae","ACCEPTED","Bison bonasus",0,0,0,0,0,0,0,0,0,100,"Ref_1","ABC",5e+05,"Ref_117","1",5171,"Bovidae","G","A",NA,1,1,1,"Ref_1","ABC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2437546,"Rodentia","Sciuridae","ACCEPTED","Biswamoyopterus biswasi",0,0,0,0,0,0,30,20,40,10,"Ref_6","ABC",1613.3,"Ref_117","1",892,"Sciuridae","Ar","A",NA,1,0,0,"Ref_1","ABC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2439282,"Rodentia","Cricetidae","ACCEPTED","Blanfordimys afghanus",20,0,0,0,0,0,10,0,40,30,"Ref_3","D2",56.99,"Ref_178","2",1446,"Cricetidae","G","A",NA,0,1,1,"Ref_1","ABC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4265107,"Rodentia","Cricetidae","ACCEPTED","Blanfordimys bucharensis",20,0,0,0,0,0,10,0,40,30,"Ref_3","D2",57.08,"Ref_178","2",1447,"Cricetidae","G","A",NA,0,1,1,"Ref_1","ABC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2435862,"Soricomorpha","Soricidae","ACCEPTED","Blarina brevicauda",40,0,0,0,30,0,0,0,0,30,"Ref_1","ABC",28,"Ref_117","1",3546,"Soricidae","G","A",NA,1,1,1,"Ref_1","ABC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
