"mentionned_species","canonical_names","gbif_id","status","match_type","accepted_species","accepted_gbif_id","order","family"
"Allactaga euphratica","Allactaga euphratica",2439484,"ACCEPTED","EXACT","Allactaga euphratica",2439484,"Rodentia","Dipodidae"
"Allactaga firouzi","Allactaga firouzi",2439491,"SYNONYM","EXACT","Allactaga hotsoni",2439488,"Rodentia","Dipodidae"
"Allactaga hotsoni","Allactaga hotsoni",2439488,"ACCEPTED","EXACT","Allactaga hotsoni",2439488,"Rodentia","Dipodidae"
"Allactaga major","Allactaga major",2439483,"ACCEPTED","EXACT","Allactaga major",2439483,"Rodentia","Dipodidae"
"Allactaga severtzovi","Allactaga severtzovi",2439487,"ACCEPTED","EXACT","Allactaga severtzovi",2439487,"Rodentia","Dipodidae"
"Allactaga sibirica","Allactaga sibirica",2439490,"ACCEPTED","EXACT","Allactaga sibirica",2439490,"Rodentia","Dipodidae"
"Allactaga tetradactyla","Allactaga tetradactyla",2439486,"ACCEPTED","EXACT","Allactaga tetradactyla",2439486,"Rodentia","Dipodidae"
"Allactaga vinogradovi","Allactaga vinogradovi",2439482,"ACCEPTED","EXACT","Allactaga vinogradovi",2439482,"Rodentia","Dipodidae"
"Allactaga williamsi","Allactaga williamsi",4262923,"ACCEPTED","EXACT","Allactaga williamsi",4262923,"Rodentia","Dipodidae"
"Allactodipus bobrinskii","Allactodipus bobrinskii",2439459,"ACCEPTED","EXACT","Allactodipus bobrinskii",2439459,"Rodentia","Dipodidae"
"Allenopithecus nigroviridis","Allenopithecus nigroviridis",2436620,"ACCEPTED","EXACT","Allenopithecus nigroviridis",2436620,"Primates","Cercopithecidae"
"Allocebus trichotis","Allocebus trichotis",2436445,"ACCEPTED","EXACT","Allocebus trichotis",2436445,"Primates","Cheirogaleidae"
"Allocricetulus curtatus","Allocricetulus curtatus",2439189,"ACCEPTED","EXACT","Allocricetulus curtatus",2439189,"Rodentia","Cricetidae"
"Allocricetulus eversmanni","Allocricetulus eversmanni",2439190,"ACCEPTED","EXACT","Allocricetulus eversmanni",2439190,"Rodentia","Cricetidae"
"Alouatta belzebul","Alouatta belzebul",2436655,"ACCEPTED","EXACT","Alouatta belzebul",2436655,"Primates","Atelidae"
"Alouatta caraya","Alouatta caraya",2436652,"ACCEPTED","EXACT","Alouatta caraya",2436652,"Primates","Atelidae"
"Alouatta coibensis","Alouatta coibensis",2436650,"SYNONYM","EXACT","Alouatta palliata",2436649,"Primates","Atelidae"
"Alouatta guariba","Alouatta guariba",7262055,"ACCEPTED","EXACT","Alouatta guariba",7262055,"Primates","Atelidae"
"Alouatta macconnelli","Alouatta macconnelli",7913455,"ACCEPTED","EXACT","Alouatta macconnelli",7913455,"Primates","Atelidae"
"Alouatta nigerrima","Alouatta nigerrima",4267236,"ACCEPTED","EXACT","Alouatta nigerrima",4267236,"Primates","Atelidae"
"Alouatta palliata","Alouatta palliata",2436649,"ACCEPTED","EXACT","Alouatta palliata",2436649,"Primates","Atelidae"
"Alouatta pigra","Alouatta pigra",2436653,"ACCEPTED","EXACT","Alouatta pigra",2436653,"Primates","Atelidae"
"Alouatta sara","Alouatta sara",2436651,"ACCEPTED","EXACT","Alouatta sara",2436651,"Primates","Atelidae"
"Alouatta seniculus","Alouatta seniculus",2436648,"ACCEPTED","EXACT","Alouatta seniculus",2436648,"Primates","Atelidae"
"Alticola albicaudus","Alticola albicaudus",4265078,"ACCEPTED","EXACT","Alticola albicaudus",4265078,"Rodentia","Cricetidae"
"Alticola argentatus","Alticola argentatus",2438712,"ACCEPTED","EXACT","Alticola argentatus",2438712,"Rodentia","Cricetidae"
"Alticola barakshin","Alticola barakshin",2438716,"ACCEPTED","EXACT","Alticola barakshin",2438716,"Rodentia","Cricetidae"
"Alticola lemminus","Alticola lemminus",2438713,"ACCEPTED","EXACT","Alticola lemminus",2438713,"Rodentia","Cricetidae"
"Alticola macrotis","Alticola macrotis",2438717,"SYNONYM","EXACT","Thomasomys macrotis",4265170,"Rodentia","Cricetidae"
"Alticola montosa","Alticola montosa",2438721,"ACCEPTED","EXACT","Alticola montosa",2438721,"Rodentia","Cricetidae"
"Alticola olchonensis","Alticola olchonensis",4265079,"ACCEPTED","EXACT","Alticola olchonensis",4265079,"Rodentia","Cricetidae"
"Alticola roylei","Alticola roylei",2438714,"ACCEPTED","EXACT","Alticola roylei",2438714,"Rodentia","Cricetidae"
"Alticola semicanus","Alticola semicanus",2438718,"ACCEPTED","EXACT","Alticola semicanus",2438718,"Rodentia","Cricetidae"
"Alticola stoliczkanus","Alticola stoliczkanus",2438722,"ACCEPTED","EXACT","Alticola stoliczkanus",2438722,"Rodentia","Cricetidae"
"Alticola strelzowi","Alticola strelzowi",2438719,"ACCEPTED","EXACT","Alticola strelzowi",2438719,"Rodentia","Cricetidae"
"Alticola tuvinicus","Alticola tuvinicus",2438723,"ACCEPTED","EXACT","Alticola tuvinicus",2438723,"Rodentia","Cricetidae"
"Amblysomus corriae","Amblysomus corriae",5218448,"ACCEPTED","EXACT","Amblysomus corriae",5218448,"Afrosoricida","Chrysochloridae"
"Amblysomus hottentotus","Amblysomus hottentotus",5218439,"ACCEPTED","EXACT","Amblysomus hottentotus",5218439,"Afrosoricida","Chrysochloridae"
"Amblysomus marleyi","Amblysomus marleyi",5218446,"ACCEPTED","EXACT","Amblysomus marleyi",5218446,"Afrosoricida","Chrysochloridae"
"Amblysomus robustus","Amblysomus robustus",5218438,"ACCEPTED","EXACT","Amblysomus robustus",5218438,"Afrosoricida","Chrysochloridae"
"Amblysomus septentrionalis","Amblysomus septentrionalis",5218447,"ACCEPTED","EXACT","Amblysomus septentrionalis",5218447,"Afrosoricida","Chrysochloridae"
"Ametrida centurio","Ametrida centurio",2433235,"ACCEPTED","EXACT","Ametrida centurio",2433235,"Chiroptera","Phyllostomidae"
