Species;C (mg/g);N (mg/g);P (mg/g);date;day;month;year;data;location;period;feces_ID
Bushbuck;435.0;17.50;2.77;End of July 2009;NA;7;2009;NA1;;dry;162
Elephant;434.0;13.30;4.19;End of July 2009;NA;7;2009;NA1;;dry;163
Elephant;444.0;10.80;2.70;End of July 2009;NA;7;2009;NA1;;dry;164
Elephant;430.0;12.30;1.70;End of July 2009;NA;7;2009;NA1;;dry;165
Giraffe;450;22.20;2.42;End of July 2009;NA;7;2009;NA1;;dry;166
Giraffe;436.0;22.80;2.72;End of July 2009;NA;7;2009;NA1;;dry;167
Giraffe;451.0;21.60;2.65;End of July 2009;NA;7;2009;NA1;;dry;168
Giraffe;402.0;11.70;2.06;End of July 2009;NA;7;2009;NA1;;dry;169
Giraffe;464.0;19.70;2.20;End of July 2009;NA;7;2009;NA1;;dry;170
Hare;423.0;9.89;0.69;End of July 2009;NA;7;2009;NA1;;dry;171
Hare;420.0;12.40;0.98;End of July 2009;NA;7;2009;NA1;;dry;172
Hare;398.0;13.20;1.04;End of July 2009;NA;7;2009;NA1;;dry;173
Hare;378.0;21.30;0.68;End of July 2009;NA;7;2009;NA1;;dry;174
Hare;415.0;10.10;4.21;End of July 2009;NA;7;2009;NA1;;dry;175
Hare;415.0;9.63;0.73;End of July 2009;NA;7;2009;NA1;;dry;176
Kongoni;371.0;9.38;1.96;End of July 2009;NA;7;2009;NA1;;dry;177
Kongoni;400.0;11.00;2.27;End of July 2009;NA;7;2009;NA1;;dry;178
Kongoni;439.0;5.30;4.77;End of July 2009;NA;7;2009;NA1;;dry;179
Rat;428.0;3.88;0.33;End of July 2009;NA;7;2009;NA1;;dry;180
Rat;418.0;3.50;0.48;End of July 2009;NA;7;2009;NA1;;dry;181
Rat;433.0;3.84;0.37;End of July 2009;NA;7;2009;NA1;;dry;182
Rat;408.0;5.52;0.49;End of July 2009;NA;7;2009;NA1;;dry;183
Rat;428.0;5.13;0.94;End of July 2009;NA;7;2009;NA1;;dry;184
Red duiker;420.0;16.30;2.80;End of July 2009;NA;7;2009;NA1;;dry;185
Red duiker;434.9;19.97;3.10;End of July 2009;NA;7;2009;NA1;;dry;186
Reedbuck;396.0;12.40;3.30;End of July 2009;NA;7;2009;NA1;;dry;187
Reedbuck;395.0;12.40;2.59;End of July 2009;NA;7;2009;NA1;;dry;188
Reedbuck;388.0;12.30;2.79;End of July 2009;NA;7;2009;NA1;;dry;189
Reedbuck;478.0;23.90;2.27;End of July 2009;NA;7;2009;NA1;;dry;190
Reedbuck;387.1;11.80;2.52;End of July 2009;NA;7;2009;NA1;;dry;191
Suni;429.0;20.10;1.76;End of July 2009;NA;7;2009;NA1;;dry;192
Suni;410.0;23.70;1.50;End of July 2009;NA;7;2009;NA1;;dry;193
Warthog;365.0;8.58;4.15;End of July 2009;NA;7;2009;NA1;;dry;194
Warthog;396.0;11.90;2.23;End of July 2009;NA;7;2009;NA1;;dry;195
Warthog;383.0;11.00;1.83;End of July 2009;NA;7;2009;NA1;;dry;196
Warthog;322.0;14.10;1.78;End of July 2009;NA;7;2009;NA1;;dry;197
Warthog;344.0;8.00;2.00;End of July 2009;NA;7;2009;NA1;;dry;198
Warthog;407.0;8.80;1.85;End of July 2009;NA;7;2009;NA1;;dry;199
Waterbuck;383.0;11.00;2.72;End of July 2009;NA;7;2009;NA1;;dry;200
Waterbuck;364.0;10.50;6.85;End of July 2009;NA;7;2009;NA1;;dry;201
Waterbuck;327.4;13.63;1.96;End of July 2009;NA;7;2009;NA1;;dry;202
Waterbuck;373.0;11.10;4.94;End of July 2009;NA;7;2009;NA1;;dry;203
Waterbuck;397.0;11.20;2.14;End of July 2009;NA;7;2009;NA1;;dry;204
Waterbuck;363.2;10.21;1.84;End of July 2009;NA;7;2009;NA1;;dry;205
Waterbuck;381.0;12.80;1.77;End of July 2009;NA;7;2009;NA1;;dry;206
Waterbuck;391.0;10.60;2.36;End of July 2009;NA;7;2009;NA1;;dry;207
Waterbuck;383.0;10.50;2.44;End of July 2009;NA;7;2009;NA1;;dry;208
