"","Species","date","day","month","year","data","location","period","feces_ID","component_name","component_mean"
"224","Waterbuck","mardi 31 janvier 2006",31,1,2006,"DBP1","SA","dry",78,"P",2.74
"225","Waterbuck","mardi 31 janvier 2006",31,1,2006,"DBP1","SA","dry",79,"C",373.9
"226","Waterbuck","mardi 31 janvier 2006",31,1,2006,"DBP1","SA","dry",79,"N",15.74
"227","Waterbuck","mardi 31 janvier 2006",31,1,2006,"DBP1","SA","dry",79,"P",2.98
"228","Waterbuck","mardi 31 janvier 2006",31,1,2006,"DBP1","SA","dry",80,"C",378.2
"229","Waterbuck","mardi 31 janvier 2006",31,1,2006,"DBP1","SA","dry",80,"N",16.39
"230","Waterbuck","mardi 31 janvier 2006",31,1,2006,"DBP1","SA","dry",80,"P",3.66
"231","Wildebeest","mardi 31 janvier 2006",31,1,2006,"DBP1","SA","dry",81,"C",323.9
"232","Wildebeest","mardi 31 janvier 2006",31,1,2006,"DBP1","SA","dry",81,"N",15.83
"233","Wildebeest","mardi 31 janvier 2006",31,1,2006,"DBP1","SA","dry",81,"P",2.81
"234","Wildebeest","mardi 31 janvier 2006",31,1,2006,"DBP1","SA","dry",82,"C",346.7
"235","Wildebeest","mardi 31 janvier 2006",31,1,2006,"DBP1","SA","dry",82,"N",14.86
"236","Wildebeest","mardi 31 janvier 2006",31,1,2006,"DBP1","SA","dry",82,"P",2.45
"237","Wildebeest","mardi 31 janvier 2006",31,1,2006,"DBP1","SA","dry",83,"C",338.5
"238","Wildebeest","mardi 31 janvier 2006",31,1,2006,"DBP1","SA","dry",83,"N",15.93
"239","Wildebeest","mardi 31 janvier 2006",31,1,2006,"DBP1","SA","dry",83,"P",2.35
"240","Wildebeest","mardi 31 janvier 2006",31,1,2006,"DBP1","SA","dry",84,"C",339.4
"241","Wildebeest","mardi 31 janvier 2006",31,1,2006,"DBP1","SA","dry",84,"N",15.02
"242","Wildebeest","mardi 31 janvier 2006",31,1,2006,"DBP1","SA","dry",84,"P",2.17
"243","Wildebeest","mardi 31 janvier 2006",31,1,2006,"DBP1","SA","dry",85,"C",339.5
"244","Wildebeest","mardi 31 janvier 2006",31,1,2006,"DBP1","SA","dry",85,"N",16.75
"245","Wildebeest","mardi 31 janvier 2006",31,1,2006,"DBP1","SA","dry",85,"P",2.29
"246","Wildebeest","mardi 31 janvier 2006",31,1,2006,"DBP1","SA","dry",86,"C",341.9
"247","Wildebeest","mardi 31 janvier 2006",31,1,2006,"DBP1","SA","dry",86,"N",19.09
"248","Wildebeest","mardi 31 janvier 2006",31,1,2006,"DBP1","SA","dry",86,"P",2.39
"249","Wildebeest","mardi 31 janvier 2006",31,1,2006,"DBP1","SA","dry",87,"C",344.3
"250","Wildebeest","mardi 31 janvier 2006",31,1,2006,"DBP1","SA","dry",87,"N",14.31
"251","Wildebeest","mardi 31 janvier 2006",31,1,2006,"DBP1","SA","dry",87,"P",2.28
"252","Wildebeest","mardi 31 janvier 2006",31,1,2006,"DBP1","SA","dry",88,"C",337.8
"253","Wildebeest","mardi 31 janvier 2006",31,1,2006,"DBP1","SA","dry",88,"N",15.94
"254","Wildebeest","mardi 31 janvier 2006",31,1,2006,"DBP1","SA","dry",88,"P",2.26
"255","Wildebeest","mardi 31 janvier 2006",31,1,2006,"DBP1","SA","dry",89,"C",332.4
"256","Wildebeest","mardi 31 janvier 2006",31,1,2006,"DBP1","SA","dry",89,"N",16.34
"257","Wildebeest","mardi 31 janvier 2006",31,1,2006,"DBP1","SA","dry",89,"P",3.45
"258","Wildebeest","mardi 31 janvier 2006",31,1,2006,"DBP1","SA","dry",90,"C",341.9
"259","Wildebeest","mardi 31 janvier 2006",31,1,2006,"DBP1","SA","dry",90,"N",17.56
"260","Wildebeest","mardi 31 janvier 2006",31,1,2006,"DBP1","SA","dry",90,"P",2.54
"261","Buffalo","lundi 31 juillet 2006",31,7,2006,"DDE3","SA","dry",91,"C",393.2
"262","Buffalo","lundi 31 juillet 2006",31,7,2006,"DDE3","SA","dry",91,"N",9.71
"263","Buffalo","lundi 31 juillet 2006",31,7,2006,"DDE3","SA","dry",91,"P",2.5
"264","Buffalo","lundi 31 juillet 2006",31,7,2006,"DDE3","SA","dry",92,"C",389.2
"265","Buffalo","lundi 31 juillet 2006",31,7,2006,"DDE3","SA","dry",92,"N",9.14
"266","Buffalo","lundi 31 juillet 2006",31,7,2006,"DDE3","SA","dry",92,"P",2.32
"267","Buffalo","lundi 31 juillet 2006",31,7,2006,"DDE3","SA","dry",93,"C",387.1
"268","Buffalo","lundi 31 juillet 2006",31,7,2006,"DDE3","SA","dry",93,"N",10.03
"269","Buffalo","lundi 31 juillet 2006",31,7,2006,"DDE3","SA","dry",93,"P",2.06
"270","Buffalo","lundi 31 juillet 2006",31,7,2006,"DDE3","SA","dry",94,"C",394.7
"271","Buffalo","lundi 31 juillet 2006",31,7,2006,"DDE3","SA","dry",94,"N",9.55
"272","Buffalo","lundi 31 juillet 2006",31,7,2006,"DDE3","SA","dry",94,"P",2.42
"273","Buffalo","lundi 31 juillet 2006",31,7,2006,"DDE3","SA","dry",95,"C",387.5
