Visibility,Source ID,Locality ID,Traits ID,Genus,Species,Morphospecies,Contributor,Latitude,Longitude,Caste,N,Head width across eyes (mm),Head length (mm),Clypeus length (mm),Mandible length (mm),Hind femur length (mm),Scape length (mm),Weber's length (mm),Pronotum width (mm),Inter-ocular width (mm),Max eye width (mm),Whole body length (mm),Sculpturing,Pilosity (#),Number of Spines (#),Dominant colour head (Fig. 16),Dominant colour mesosoma (Fig. 16),Dominant colour gaster (Fig. 16),Polymorphism,Queen number,Worker number (#),Colony type,Colony founding,Nest Site,Activity,Diet,Notes
Public,Donoso_2014,,Donoso_2014_traits_112,Gnamptogenys,hartmani,False,"Donoso, David",Not in paper,Not in paper,Worker,1,0.72,0.75,Not in paper,Not in paper,0.68,Not in paper,1.08,Not in paper,Not in paper,0.19,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Monomorphic (1),Monogyny (1),Not in paper,Monodomous (1),Not in paper,Litter (6),Diurnal (1),Generalist (2),9478b
Public,Donoso_2014,,Donoso_2014_traits_113,Gnamptogenys,horni,False,"Donoso, David",Not in paper,Not in paper,Worker,1,0.67,0.67,Not in paper,Not in paper,Not in paper,Not in paper,0.91,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Monomorphic (1),Monogyny (1),Not in paper,Monodomous (1),Not in paper,Litter (6),Diurnal (1),Generalist (2),3134
Public,Donoso_2014,,Donoso_2014_traits_114,Gnamptogenys,horni,False,"Donoso, David",Not in paper,Not in paper,Worker,1,0.66,0.75,Not in paper,Not in paper,0.61,Not in paper,0.94,Not in paper,Not in paper,0.13,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Monomorphic (1),Monogyny (1),Not in paper,Monodomous (1),Not in paper,Litter (6),Diurnal (1),Generalist (2),15059a
Public,Donoso_2014,,Donoso_2014_traits_115,Gnamptogenys,horni,False,"Donoso, David",Not in paper,Not in paper,Worker,1,0.64,0.72,0.16,0.44,0.6,0.46,0.98,0.52,0.54,0.13,3.1,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Monomorphic (1),Monogyny (1),Not in paper,Monodomous (1),Not in paper,Litter (6),Diurnal (1),Generalist (2),175843a
Public,Donoso_2014,,Donoso_2014_traits_116,Gnamptogenys,horni,False,"Donoso, David",Not in paper,Not in paper,Worker,1,0.66,0.68,0.2,0.48,0.58,0.4,0.94,0.52,0.56,0.12,3.3,3,15,0,10,10,10,Monomorphic (1),Monogyny (1),Not in paper,Monodomous (1),Not in paper,Litter (6),Diurnal (1),Generalist (2),175843b
Public,Donoso_2014,,Donoso_2014_traits_121,Rogeria,inermis,False,"Donoso, David",Not in paper,Not in paper,Worker,1,0.53,0.62,Not in paper,Not in paper,Not in paper,Not in paper,0.69,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Monomorphic (1),Monogyny (1),Not in paper,Monodomous (1),Not in paper,Litter (6),Diurnal (1),Generalist (2),2023
Public,Donoso_2014,,Donoso_2014_traits_122,Rogeria,inermis,False,"Donoso, David",Not in paper,Not in paper,Worker,1,0.52,0.58,Not in paper,0.32,0.47,0.4,0.67,0.36,Not in paper,0.08,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Monomorphic (1),Monogyny (1),Not in paper,Monodomous (1),Not in paper,Litter (6),Diurnal (1),Generalist (2),2214
Public,Donoso_2014,,Donoso_2014_traits_123,Rogeria,inermis,False,"Donoso, David",Not in paper,Not in paper,Worker,1,0.55,0.61,Not in paper,Not in paper,Not in paper,Not in paper,0.71,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Monomorphic (1),Monogyny (1),Not in paper,Monodomous (1),Not in paper,Litter (6),Diurnal (1),Generalist (2),11533
Public,Donoso_2014,,Donoso_2014_traits_124,Rogeria,inermis,False,"Donoso, David",Not in paper,Not in paper,Worker,1,0.5,0.56,Not in paper,Not in paper,0.45,Not in paper,0.63,Not in paper,Not in paper,0.09,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Monomorphic (1),Monogyny (1),Not in paper,Monodomous (1),Not in paper,Litter (6),Diurnal (1),Generalist (2),26855
Public,Donoso_2014,,Donoso_2014_traits_125,Rogeria,inermis,False,"Donoso, David",Not in paper,Not in paper,Worker,1,0.53,0.61,0.18,0.22,0.49,0.4,0.67,0.4,0.48,0.1,2.6,3,9,2,21,21,21,Monomorphic (1),Monogyny (1),Not in paper,Monodomous (1),Not in paper,Litter (6),Diurnal (1),Generalist (2),26877
Public,Donoso_2014,,Donoso_2014_traits_126,Rogeria,inermis,False,"Donoso, David",Not in paper,Not in paper,Worker,1,0.55,0.64,Not in paper,Not in paper,Not in paper,Not in paper,0.71,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Monomorphic (1),Monogyny (1),Not in paper,Monodomous (1),Not in paper,Litter (6),Diurnal (1),Generalist (2),100636
Public,Donoso_2014,,Donoso_2014_traits_127,Gnamptogenys,interrupta,False,"Donoso, David",Not in paper,Not in paper,Worker,1,0.49,0.62,Not in paper,Not in paper,Not in paper,Not in paper,0.86,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Monomorphic (1),Monogyny (1),Not in paper,Monodomous (1),Not in paper,Litter (6),Diurnal (1),Generalist (2),8785
Public,Donoso_2014,,Donoso_2014_traits_136,Hypoponera,JTL013,True,"Donoso, David",Not in paper,Not in paper,Worker,1,0.49,0.6,Not in paper,Not in paper,Not in paper,Not in paper,0.77,Not in paper,Not in paper,Not in paper,Not in paper,1,10,0,9,9,17,Monomorphic (1),Monogyny (1),Not in paper,Monodomous (1),Not in paper,Litter (6),Diurnal (1),Generalist (2),10148
Public,Donoso_2014,,Donoso_2014_traits_137,Solenopsis,JTsp1,True,"Donoso, David",Not in paper,Not in paper,Worker,1,0.28,0.36,0.1,0.18,0.28,0.22,0.38,0.2,0.28,0.02,1.1,1,1,0,19,19,19,Monomorphic (1),Monogyny (1),Not in paper,Monodomous (1),Not in paper,Litter (6),Diurnal (1),Generalist (2),10459
Public,Donoso_2014,,Donoso_2014_traits_138,Solenopsis,JTsp1,True,"Donoso, David",Not in paper,Not in paper,Worker,1,0.28,0.33,Not in paper,Not in paper,0.24,Not in paper,0.37,Not in paper,Not in paper,0.03,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Monomorphic (1),Monogyny (1),Not in paper,Monodomous (1),Not in paper,Litter (6),Diurnal (1),Generalist (2),189626a
Public,Donoso_2014,,Donoso_2014_traits_141,Solenopsis,lash4,True,"Donoso, David",Not in paper,Not in paper,Worker,1,0.36,0.32,0.1,0.18,0.18,0.2,0.36,0.18,0.28,0.03,1.3,1,3,0,17,17,17,Monomorphic (1),Monogyny (1),Not in paper,Monodomous (1),Not in paper,Litter (6),Diurnal (1),Generalist (2),009001_1
Public,Donoso_2014,,Donoso_2014_traits_142,Solenopsis,lash4,True,"Donoso, David",Not in paper,Not in paper,Worker,1,0.38,0.3,0.12,0.14,0.22,0.2,0.36,0.2,0.28,0.04,1.4,1,3,0,17,17,17,Monomorphic (1),Monogyny (1),Not in paper,Monodomous (1),Not in paper,Litter (6),Diurnal (1),Generalist (2),009001_2
Public,Donoso_2014,,Donoso_2014_traits_143,Solenopsis,lash6,True,"Donoso, David",Not in paper,Not in paper,Worker,1,0.28,0.33,Not in paper,Not in paper,Not in paper,Not in paper,0.33,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Monomorphic (1),Monogyny (1),Not in paper,Monodomous (1),Not in paper,Litter (6),Diurnal (1),Generalist (2),10162
Public,Donoso_2014,,Donoso_2014_traits_144,Solenopsis,lash6,True,"Donoso, David",Not in paper,Not in paper,Worker,1,0.32,0.34,0.1,0.18,0.24,0.22,0.4,0.2,0.32,0.03,1.2,2,6,0,19,19,20,Monomorphic (1),Monogyny (1),Not in paper,Monodomous (1),Not in paper,Litter (6),Diurnal (1),Generalist (2),10162
Public,Donoso_2014,,Donoso_2014_traits_145,Pheidole,lash9,True,"Donoso, David",Not in paper,Not in paper,Worker,1,0.62,0.62,0.13,0.38,0.74,0.68,0.78,0.36,0.48,0.13,2.25,2,7,2,20,20,20,Dimorphic (2),Monogyny (1),Not in paper,Monodomous (1),Not in paper,Litter (6),Diurnal (1),Generalist (2),104260
Public,Donoso_2014,,Donoso_2014_traits_146,Pheidole,lash9,True,"Donoso, David",Not in paper,Not in paper,Worker,1,0.53,0.5,Not in paper,Not in paper,0.58,Not in paper,0.66,Not in paper,Not in paper,0.12,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Dimorphic (2),Monogyny (1),Not in paper,Monodomous (1),Not in paper,Litter (6),Diurnal (1),Generalist (2),189630a
Public,Donoso_2014,,Donoso_2014_traits_147,Pheidole,lash9,True,"Donoso, David",Not in paper,Not in paper,Worker,1,0.47,0.44,Not in paper,Not in paper,0.53,Not in paper,0.73,Not in paper,Not in paper,0.09,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Dimorphic (2),Monogyny (1),Not in paper,Monodomous (1),Not in paper,Litter (6),Diurnal (1),Generalist (2),189644b
Public,Donoso_2014,,Donoso_2014_traits_148,Crematogaster,limata,False,"Donoso, David",Not in paper,Not in paper,Worker,1,0.65,0.6,Not in paper,Not in paper,Not in paper,Not in paper,0.7,Not in paper,Not in paper,Not in paper,Not in paper,2,6,2,8,8,8,Monomorphic (1),Monogyny (1),Not in paper,Monodomous (1),Not in paper,Aboreal (5),Diurnal (1),Generalist (2),175589
Public,Donoso_2014,,Donoso_2014_traits_156,Pheidole,mendicula,False,"Donoso, David",Not in paper,Not in paper,Worker,1,0.36,0.36,0.1,0.18,0.22,0.22,0.34,0.22,0.32,0.08,1.1,2,4,2,22,22,22,Dimorphic (2),Monogyny (1),Not in paper,Monodomous (1),Not in paper,Litter (6),Diurnal (1),Generalist (2),100464
Public,Donoso_2014,,Donoso_2014_traits_157,Pheidole,mendicula,False,"Donoso, David",Not in paper,Not in paper,Worker,1,Not in paper,0.37,Not in paper,Not in paper,Not in paper,Not in paper,0.42,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Dimorphic (2),Monogyny (1),Not in paper,Monodomous (1),Not in paper,Litter (6),Diurnal (1),Generalist (2),PhmMean
Public,Donoso_2014,,Donoso_2014_traits_158,Gnamptogenys,minuta,False,"Donoso, David",Not in paper,Not in paper,Worker,1,0.71,0.71,Not in paper,Not in paper,Not in paper,Not in paper,1,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Monomorphic (1),Monogyny (1),Not in paper,Monodomous (1),Not in paper,Litter (6),Diurnal (1),Generalist (2),10390
Public,Donoso_2014,,Donoso_2014_traits_159,Gnamptogenys,minuta,False,"Donoso, David",Not in paper,Not in paper,Worker,1,0.74,0.78,0.28,0.56,0.62,0.5,1.1,0.58,0.66,0.05,3.5,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Monomorphic (1),Monogyny (1),Not in paper,Monodomous (1),Not in paper,Litter (6),Diurnal (1),Generalist (2),101835a
Public,Donoso_2014,,Donoso_2014_traits_160,Gnamptogenys,minuta,False,"Donoso, David",Not in paper,Not in paper,Worker,1,0.74,0.74,0.26,0.5,0.6,0.5,1.12,0.56,0.68,0.04,3.5,2,23,0,10,10,10,Monomorphic (1),Monogyny (1),Not in paper,Monodomous (1),Not in paper,Litter (6),Diurnal (1),Generalist (2),101835b
Public,Donoso_2014,,Donoso_2014_traits_161,Cephalotes,minutus,False,"Donoso, David",Not in paper,Not in paper,Worker,1,1.24,0.82,0.02,0.34,0.6,0.4,0.94,0.8,1.02,0.36,3.3,2,0,14,2,2,2,Monomorphic (1),Monogyny (1),Not in paper,Monodomous (1),Not in paper,Aboreal (5),Diurnal (1),Generalist (2),56580
Public,Donoso_2014,,Donoso_2014_traits_162,Cephalotes,minutus,False,"Donoso, David",Not in paper,Not in paper,Worker,1,1.42,1,0.02,0.36,0.7,0.6,1.1,1,1.1,0.36,3.8,2,0,14,2,2,2,Monomorphic (1),Monogyny (1),Not in paper,Monodomous (1),Not in paper,Aboreal (5),Diurnal (1),Generalist (2),56582
Public,Donoso_2014,,Donoso_2014_traits_163,Cephalotes,minutus,False,"Donoso, David",Not in paper,Not in paper,Worker,1,1.33,0.93,Not in paper,Not in paper,Not in paper,Not in paper,1.04,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Monomorphic (1),Monogyny (1),Not in paper,Monodomous (1),Not in paper,Aboreal (5),Diurnal (1),Generalist (2),172081
Public,Donoso_2014,,Donoso_2014_traits_164,Pheidole,multispina,False,"Donoso, David",Not in paper,Not in paper,Worker,1,0.4,0.4,0.12,0.24,0.3,0.34,0.44,0.26,0.34,0.1,1.4,1,5,4,21,21,21,Dimorphic (2),Monogyny (1),Not in paper,Monodomous (1),Not in paper,Litter (6),Diurnal (1),Generalist (2),15082
Public,Donoso_2014,,Donoso_2014_traits_165,Pheidole,multispina,False,"Donoso, David",Not in paper,Not in paper,Worker,1,Not in paper,0.42,Not in paper,Not in paper,Not in paper,Not in paper,0.42,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Dimorphic (2),Monogyny (1),Not in paper,Monodomous (1),Not in paper,Litter (6),Diurnal (1),Generalist (2),PhmuMean
Public,Donoso_2014,,Donoso_2014_traits_169,Hypoponera,parva,False,"Donoso, David",Not in paper,Not in paper,Worker,1,0.37,0.46,Not in paper,Not in paper,Not in paper,Not in paper,0.55,Not in paper,Not in paper,Not in paper,Not in paper,1,3,0,17,17,17,Monomorphic (1),Monogyny (1),Not in paper,Monodomous (1),Not in paper,Litter (6),Diurnal (1),Generalist (2),Mean
Public,Donoso_2014,,Donoso_2014_traits_170,Monomorium,pharaonis,False,"Donoso, David",Not in paper,Not in paper,Worker,1,0.44,0.55,Not in paper,Not in paper,Not in paper,Not in paper,0.61,Not in paper,Not in paper,0.08,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Monomorphic (1),Monogyny (1),Not in paper,Monodomous (1),Not in paper,Aboreal (5),Diurnal (1),Generalist (2),10048
Public,Donoso_2014,,Donoso_2014_traits_171,Monomorium,pharaonis,False,"Donoso, David",Not in paper,Not in paper,Worker,1,0.45,0.5,Not in paper,Not in paper,0.48,Not in paper,0.64,Not in paper,Not in paper,0.08,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Monomorphic (1),Monogyny (1),Not in paper,Monodomous (1),Not in paper,Aboreal (5),Diurnal (1),Generalist (2),3784602a
Public,Donoso_2014,,Donoso_2014_traits_172,Solenopsis,picea,False,"Donoso, David",Not in paper,Not in paper,Worker,1,0.47,0.54,Not in paper,Not in paper,Not in paper,Not in paper,0.57,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Monomorphic (1),Monogyny (1),Not in paper,Monodomous (1),Not in paper,Litter (6),Diurnal (1),Generalist (2),2290
Public,Donoso_2014,,Donoso_2014_traits_173,Solenopsis,picea,False,"Donoso, David",Not in paper,Not in paper,Worker,1,0.44,0.52,0.26,0.22,0.36,0.26,0.34,0.28,0.42,0.04,1.9,2,5,0,17,17,17,Monomorphic (1),Monogyny (1),Not in paper,Monodomous (1),Not in paper,Litter (6),Diurnal (1),Generalist (2),16273
Public,Donoso_2014,,Donoso_2014_traits_177,Pheidole,rugiceps,False,"Donoso, David",Not in paper,Not in paper,Worker,1,0.5,0.55,0.2,0.3,0.65,0.6,0.6,0.25,0.4,0.1,1.8,2,1,2,9,9,21,Dimorphic (2),Monogyny (1),Not in paper,Monodomous (1),Not in paper,Litter (6),Diurnal (1),Generalist (2),63958
Public,Donoso_2014,,Donoso_2014_traits_178,Pheidole,rugiceps,False,"Donoso, David",Not in paper,Not in paper,Worker,1,Not in paper,0.44,Not in paper,Not in paper,Not in paper,Not in paper,0.49,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Dimorphic (2),Monogyny (1),Not in paper,Monodomous (1),Not in paper,Litter (6),Diurnal (1),Generalist (2),PhRuMean
Public,Donoso_2014,,Donoso_2014_traits_179,Ectatomma,ruidum,False,"Donoso, David",Not in paper,Not in paper,Worker,1,1.76,1.99,Not in paper,Not in paper,Not in paper,Not in paper,3.07,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Monomorphic (1),Monogyny (1),Not in paper,Monodomous (1),Not in paper,Hypogaeic (1),Diurnal (1),Generalist (2),9065
Public,Donoso_2014,,Donoso_2014_traits_180,Ectatomma,ruidum,False,"Donoso, David",Not in paper,Not in paper,Worker,1,1.7,1.76,0.4,1.2,2.45,1.72,2.9,1.1,1.18,0.48,8.5,3,15,0,22,22,22,Monomorphic (1),Monogyny (1),Not in paper,Monodomous (1),Not in paper,Hypogaeic (1),Diurnal (1),Generalist (2),9066
Public,Donoso_2014,,Donoso_2014_traits_181,Ectatomma,ruidum,False,"Donoso, David",Not in paper,Not in paper,Worker,1,1.88,1.84,0.44,1.1,2.6,1.8,3.1,1.45,1.36,0.54,9.5,3,19,0,22,22,22,Monomorphic (1),Monogyny (1),Not in paper,Monodomous (1),Not in paper,Hypogaeic (1),Diurnal (1),Generalist (2),9070
Public,Donoso_2014,,Donoso_2014_traits_182,Pheidole,sensitiva,False,"Donoso, David",Not in paper,Not in paper,Worker,1,0.62,0.58,0.14,0.36,0.7,0.7,0.76,0.4,0.56,0.16,2.5,2,11,2,24,24,24,Dimorphic (2),Monogyny (1),Not in paper,Monodomous (1),Not in paper,Litter (6),Diurnal (1),Generalist (2),9301
Public,Donoso_2014,,Donoso_2014_traits_183,Pheidole,sensitiva,False,"Donoso, David",Not in paper,Not in paper,Worker,1,0.56,0.54,0.16,0.32,0.64,0.6,0.68,0.32,0.44,0.12,2.25,2,5,2,24,24,24,Dimorphic (2),Monogyny (1),Not in paper,Monodomous (1),Not in paper,Litter (6),Diurnal (1),Generalist (2),11404
Public,Donoso_2014,,Donoso_2014_traits_184,Megalomyrmex,silvestrii,False,"Donoso, David",Not in paper,Not in paper,Worker,1,0.54,0.71,Not in paper,0.39,0.85,0.84,0.99,0.4,Not in paper,0.15,Not in paper,1,6,0,10,9,10,Monomorphic (1),Monogyny (1),Not in paper,Monodomous (1),Not in paper,Litter (6),Diurnal (1),Generalist (2),16114
Public,Donoso_2014,,Donoso_2014_traits_185,Megalomyrmex,silvestrii,False,"Donoso, David",Not in paper,Not in paper,Worker,1,0.62,0.78,Not in paper,Not in paper,Not in paper,Not in paper,1.11,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Monomorphic (1),Monogyny (1),Not in paper,Monodomous (1),Not in paper,Litter (6),Diurnal (1),Generalist (2),101294
Public,Donoso_2014,,Donoso_2014_traits_186,Camponotus,similimus,False,"Donoso, David",Not in paper,Not in paper,Worker,1,1.6,2.3,0.4,0.9,3.4,1.8,3.5,1.1,0.9,0.6,10,1,8,0,8,10,8,Monomorphic (1),Monogyny (1),Not in paper,Monodomous (1),Not in paper,Litter (6),Diurnal (1),Generalist (2),11023
Public,Donoso_2014,,Donoso_2014_traits_187,Pheidole,striaticeps,False,"Donoso, David",Not in paper,Not in paper,Worker,1,0.36,0.5,0.18,0.38,0.55,0.52,0.65,0.28,0.28,0.08,2,2,4,0,9,9,17,Dimorphic (2),Monogyny (1),Not in paper,Monodomous (1),Not in paper,Litter (6),Diurnal (1),Generalist (2),11895
Public,Donoso_2014,,Donoso_2014_traits_188,Pheidole,striaticeps,False,"Donoso, David",Not in paper,Not in paper,Worker,1,Not in paper,0.52,Not in paper,Not in paper,Not in paper,Not in paper,0.6,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Dimorphic (2),Monogyny (1),Not in paper,Monodomous (1),Not in paper,Litter (6),Diurnal (1),Generalist (2),Mean
Public,Donoso_2014,,Donoso_2014_traits_195,Solenopsis,subterranea,False,"Donoso, David",Not in paper,Not in paper,Worker,1,0.22,0.3,Not in paper,Not in paper,Not in paper,Not in paper,0.29,Not in paper,Not in paper,Not in paper,Not in paper,1,8,0,15,15,15,Monomorphic (1),Monogyny (1),Not in paper,Monodomous (1),Not in paper,Litter (6),Diurnal (1),Generalist (2),9820
Public,Donoso_2014,,Donoso_2014_traits_196,Crematogaster,sumichrasti,False,"Donoso, David",Not in paper,Not in paper,Worker,1,0.78,0.71,Not in paper,Not in paper,Not in paper,Not in paper,0.89,Not in paper,Not in paper,Not in paper,Not in paper,2,4,2,17,17,17,Monomorphic (1),Monogyny (1),Not in paper,Monodomous (1),Not in paper,Aboreal (5),Diurnal (1),Generalist (2),8608a
Public,Donoso_2014,,Donoso_2014_traits_197,Solenopsis,terricola,False,"Donoso, David",Not in paper,Not in paper,Worker,1,0.24,0.32,0.1,0.14,0.22,0.14,0.34,0.18,0.22,0.03,1.2,1,2,0,19,19,19,Monomorphic (1),Monogyny (1),Not in paper,Monodomous (1),Not in paper,Litter (6),Diurnal (1),Generalist (2),24339
Public,Donoso_2014,,Donoso_2014_traits_198,Solenopsis,terricola,False,"Donoso, David",Not in paper,Not in paper,Worker,1,0.26,0.33,Not in paper,Not in paper,0.19,Not in paper,0.32,Not in paper,Not in paper,0.03,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Monomorphic (1),Monogyny (1),Not in paper,Monodomous (1),Not in paper,Litter (6),Diurnal (1),Generalist (2),189167b
Public,Donoso_2014,,Donoso_2014_traits_199,Solenopsis,terricola,False,"Donoso, David",Not in paper,Not in paper,Worker,1,0.44,0.47,Not in paper,Not in paper,0.39,Not in paper,0.86,Not in paper,Not in paper,0.14,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Monomorphic (1),Monogyny (1),Not in paper,Monodomous (1),Not in paper,Litter (6),Diurnal (1),Generalist (2),9362b
